PROVIDER NAME,EMIRATE,PROVIDER TYPE,AREA,ADDRESS,TELEPHONE,lat,lon
New Medilife Medical Centre L.L.C.,DXB,Clinic,Warsan 3,"Bulding Material Mall, Warsan 3",44888315,,
Nmc Dic Clinic And Pharmacy Br Of Nmc Royal Hospital Llc,DXB,Clinic,Dubai International City,"Building Name D01, Dubai International City",48108800,,
Noor Al Shefa Clinic - Dxb,DXB,Clinic,Jabel Ali,"Jabel Ali Mall,Jabel Ali Ind.1",48878155,,
Noor Al Shefa Clinic 3,DXB,Clinic,Jebel Ali,"Jafza Mall,Jabel Ali Freezone",48817530,,
NOOR AL SHEFA CLINIC BRANCH,DXB,CLINIC,DUBAI,"ROOM NO.107, AL GHURAIR INTERNATIONAL EXCHANGE BUILDING, OPPOSITE KFE ACCOMMODATION, AL RUSTAMANI ROAD",04-3807636,,
Noor Al Shefa Clinic Branch - Dxb,DXB,Clinic,Al Aweer,"1St Floor, Union Co-Op Building ,Fruits And Vegetable Market",43886601,,
NOOR AL SHEFA CLINIC BRANCH 4,DXB,CLINIC,JAFZA,"MEENA RETAIL FZE BUILDING,OPPOSITE VILLAGE HYPER MARKET,NEAR GATE 7,JAFZA,DUBAI",04-8844666,,
Novitas Clinic Llc,DXB,Clinic,International City,"Prime Residency Ii , Shop No 4 - International City - Spain Cluster",45693389,,
Oxford Medical Center,DXB,Clinic,Bur Dubai,"Al Rais building Choithram 24 hr Building Bank Street Al Mankhool Road Burdubai, Dubai",45111694,,
Pakistan Medical Center,DXB,Clinic,Oud Metha,"Pakistan Association Building 11 & 14 Street, Oud Metha Road",43373632,,
PARADISE PLUS POLY CLINIC L L C,DXB,CLINIC,DIP2,"SHOP NO.108,RITAJ COMMUNITY CENTER DIP2",04-8848270,,
Physioveda Medical Center Llc,DXB,Clinic,Karama,"Al Kifaf Bldg, Karama, Dubai, UAE PO Box 3518",43215520,,
Prime Corp Medical Center Dip (Br Of Primecorp Medical Center Llc),DXB,Clinic,Dubai Investment Park 2,"Bldg No.33 Al Futtaim Accommodation, Street No. 53, Dubai Investment Park 1, Dubai",47070999,,
Primecorp Medical Center Al Qusais,DXB,Clinic,Al Qusais,"Al Qusais Plaza, Ground Floor, Al Qusais Industrial Area 2, Damascus Street, Al Qusais, Dubai",47070999,,
Primecorp Medical Center Al Warsan Br Of Primecorp Medical Center,DXB,Clinic,Warsan,"Dubai Municipality Labor Camp, Warsan Third, Dubai, UAE",47070999,,
PRIMECORP MEDICAL CENTER DWC BR OF PRIMECORP MEDICAL CENTER LLC,DXB,CLINIC,JEBEL ALI,AL MAKTOUM INTL AIRPORT; DUBAI AVIATION ENGINEERING PROJECT,04-2720720,,
Primecorp Medical Center Jabal Ali Branch,DXB,Clinic,Jebal Ali,"Jabal Ali Industrial First G03-G04 Of
Plot No 282 Alec Camp 12, Jebeel Ali Industrial, Dubai",47070999,,
Primecorp Medical Center Llc (Ex-Al Qouz Prime Corp Medical Center),DXB,Clinic,Deira,"6Th Floor, Saud Al Qasimi Building (Gulf Air Building - Salah Al Din St - Dubai",47070999,,
Rahif Poly Clinic (Ex.Al Rahif Medical Clinic),DXB,Clinic,Al Qusais,"1C Street,Al Qusais 3,Near Etisalat Metro Station-Dubai-Uae",42647886,,
Rals Healthcare (Br. Of Abdulwaheed Bin Shahib Investment) - Al Qusais (Ex.Mini Vm Polyclinic - Dxb),DXB,Clinic,Al Qusais,"Bin Shabib Mall, 
Ground Floor, Baghdad Street, 
Al Qusais, Opp MOHRE",42275777,,
Rals Healthcare (Br. Of Abdulwaheed Bin Shahib Investment) - Burjuman (Ex.Noora Polyclinic),DXB,Clinic,Bur Dubai,"IT Center Building, 21 A Street, Al Suoq Al Kabeer, Bur Dubai (Next to Al Raffa Police Station), Dubai",42275777,,
RAMADA LIFE EXPRESS CLINIC,DXB,CLINIC,AL MANKHOOL,"NEAR HOTEL RAMADA, AL TAWHIDI BUILDING 2, AL MANKHOOL",04-5610000,,
Re Leaf Medical Centre L.L.C.,DXB,Clinic,DIP 2,"Fakhree Centre LLC, Pasons Hyper Market Building, Reem Capital Contracting LLC.Camp 1, DIP, Dubai, UAE",48814918,,
Re Leaf Medical Centre Llc Branch,DXB,Clinic,Al Quoze Industrial-2,"Releaf Medical Centre Llc Branch,Khalfan Mohammad Bin Lahej 26, Street43, Alq 20",43377977,,
Releaf Medical Cenre Llc Branch-Al Qouz,DXB,Clinic,Alqouze,"Near Jmart, Alqouze 1, Alqouze 1, Street No 5",43216222,,
Releaf Medical Centre-Jebel Ali,DXB,Clinic,Jebal Ali,"Salim Al Rashid Suvailim Bldg, Jebel Ali Ind 1,",43885456,,
ROYAL LIFE EXPRESS CLINIC,DXB,CLINIC,AL WARQA,"UNIT # 1 OLD HOME NEEDS SM, AL WARQA DUBAI UAE",04-5610000,,
Saleem Polyclinic,DXB,Clinic,Satwa,"Near Satwa Big Masjid, Dubai Uae",44400500,,
Seha Al Noor Clinic Llc,DXB,Clinic,Muhaisnah,"Hamad Abdul Kareem Al Areif Mosque Building 211 Muhaisnah 2, Dubai, UAE",45463333,,
Sekher Medical Clinic Llc,DXB,Clinic,Al Quoz 3,"FLAT NO-104, ARABIAN GULF BLDG, ALQUOZ-3, DUBAI, UAE",43387749,,
SHAMS AL AHALIA MEDICAL CENTER,DXB,CLINIC,AL KARAMA,"GROUND FLOOR,AL WASL PROPERTIES BUILDING,19TH ST-AL KARAMA,DUBAI",056-5362232,,
Share And Care Medical Center-Fze,DXB,Clinic,Dubai Silicon Oasis (DSO),"Silicon Central Mall (Near Yellow Parking Area), Nadd Hessa, Dubai Silicon Oasis, Dubai, United Arab Emirates, P.O. Box 451073",42802088,,
SIRAJUDEEN MEDICAL CENTER,DXB,CLINIC,KARAMA,"UMM HURIAR 1, JUMBO BLDG , 1ST FLOOR,NEAR KARAMA FISH & VRG MARKET",04-3345955,,
Specialized Medical & Dental Center,DXB,Clinic,Hudeiba Area,"B-118, Al Hudaiba Awards Building",43278111,,
Tadawi Health Care LLC - (Branch) DIP,DXB,Clinic,DIP,Dubai Investment Park Dubai UAE,42309999,,
The Doctors Hub Polyclinic Llc (Ex Dr. Joseph Ghrayeb Polyclinic),DXB,Clinic,Deira,"28 Al Jazeera St., Deira Dubai, UAE",42888767,,
Ultra Care Medical Group Llc - Al Diyafah,DXB,Clinic,Dubai,Al Otaiba Same Building Emirates Islamic Bank & Beruit Resturant 2nd of December Street Al Diyafah Al Hudaibah Dubai,45487001,,
VIDA CLINICS LLC,DXB,CLINIC,BUR DUBAI,"39 B, M FLOOR, AL RAIS SHOPING CENTER, ROLLA STREET, BUR DUBAI, DUBAI, UAE",04-3252525,,
Vida Clinics Llc Branch,DXB,Clinic,Muhaisanah 2,"Al Madina Hypermarket building, 6A street, Muhaisanah 2, Dubai",43283333,,
Wadi Alsafa Medical Center L.L.C.,DXB,Clinic,Wadi Al Safa 5,"Dubai Land, Ajmal Sara Tower, PO Box 92947",45769394,,
We Care Medical Center,DXB,Clinic,Al Karama,"Hamsah A Building , Near Ansar Gallery , Ground Floor, Karama, Dubai, Uae.",44261161,,
Wellcare Advanced Poly Clinic Llc (Ex.Al Quoz City Star Polyclinic),DXB,Clinic,Al Quoz Industrial Area 3,"Al Rostamani Builidng,1St Floor Flat No.5",43285140,,
Zahrat Al Shefa Medical Center Llc,DXB,Clinic,Sonapur,"Muhaisnah 2,Al Ghaith Building",42382607,,
Zen Life Polyclinic,DXB,Clinic,Al Jeddaf,"Shop 3, Emerald Metro Building, Al Jadaf, P.O Box: 111342, Dubai, UAE",42451800,,
Zmc Health Clinic Llc,DXB,Clinic,Al Quoz First,"Shop 7-10, B28 Al Showaib Real Estate, Al Quoz First, Dubai, United Arab Emirates",42636938,,
Advanced Diagnostic Center Llc,DXB,Dx & Lab,Deira,"Hamarain Shopping Center, Deira",43203883,,
AIRIS IMAGING AND DIAGNOSTIC CENTER LLC,DXB,DIAGNOSTICS,AL NAHDA,"AL NAHDA 1, AMMAN STREET, OPP NMC HOSPITAL",04-8525916,,
Al Abbar Laboratories For Research & Medical Analysis,DXB,Dx & Lab,Bur Dubai,"Al Yousef Bldg, Office no. 501",43592641,,
Aster Imaging Centre Al Muteena (Br Of D M Healthcare Llc),DXB,Dx & Lab,Deira,"Al Ghurair Real Estate Building, Near Dubai Palm Hotel, Dubai",42532900,,
Biohealth Diagnostic Center,DXB,Dx & Lab,Umm Hurrair,Shaikh Rashid Building - Off No 107 - Umm Hurair Rd - Dubai,46885828,,
CPS-CLINICAL PATHOLOGY SERVICES,DXB,DIAGNOSTICS,JUMEIRAH,UMM SUQUEIM ROAD,04-3883660,,
Curewell Diagnostic Center,DXB,Dx & Lab,Bur Dubai,"Above Aster Pharmacy, Bank Street - 2Nd Floor, Getwell Building - Dubai",43555995,,
Deira City Medical Diagnostic Centre,DXB,Dx & Lab,Deira,"Al Reem Tower M05-M06 , Al Maktoum Road",42723555,,
Eurofins Biomnis Middle East Llc(Ex: Dow Diagnostics Fz Llc),DXB,DX & Lab,Al Wasl Road,"Al Wasl Road, Villa 5V,Sheikh Al Mur Complex, Near Life Pharmacy, Al Wasl Road, Dubai",43233033,,
Forte Clinical Laboratory Llc,DXB,DX & Lab,Al Garhoud,"Al Garhoud Business Center (near GGCO Metro Station), Al Garhoud, Dubai, United Arab Emirates, P.O. Box 214545",42718226,,
GULF CARE DIAGNOSTIC CENTER LLC,DXB,DIAGNOSTICS,BUR DUBAI,"BAIT, AL WALEED HOTEL APARTMENTS - 2 GROUND FLOOR KHALID BIN AL WALEED RD - NEAR SHARAF DG METRO STATION - AL RAFFA - DUBAI - UNITED ARAB EMIRATE",04-327 8811,,
Histopathology & Specialty Laboratory - Dxb,DXB,Dx & Lab,Rigga Road,"Same Building IBIS Hotel, Level 2 Rigga Business Center, Rigga Road, Deira, Dubai",43454431,,
Intel Lab Llc (Ex.Dr. Faris Medical Laboratory),DXB,Dx & Lab,Deira,"Flat 101, Al Hawai Building, Al Rigga Road, Deira, Dubai, Uae",42976668,,
Lifenity International Clinical Laboratory L.L.C,DXB,DX & Lab,Al Barsha I,"Shop no 2, Elite Business Centre, opp Lulu Hyper Market, Al  Barsha I",43981838,,
MEDIC POLYCLINIC,DXB,CLINIC,KARAMA,"ZABEEL ROAD, LEVEL 2, HAMSAH COMMERCIAL COMPLEX, (OPPOSITE THE MINISTRY OF FOREIGN AFFAIRS)",04-3554111,,
Medinova Diagnostic Center Br. Of (Dm Healthcare Llc),DXB,Dx & Lab,Bur Dubai,"Al Futtaim Building, Al Fahidi Metro Station, Khalid Bin Waleed Road, Meena Bazaar, Bur Dubai, Dubai",45090327,,
Medsol Dubai Medical Laboratory LLC,DXB,Dx & Lab,Deira,"2nd Floor, Al Rigga Business Center, near Ibis Hotel",42213166,,
Mega Scan Centre,DXB,Dx & Lab,Bur Dubai,"M - Floor, Atrium Centre,  Khaled Bin Al-Waleed Street, Burdubai - Dubai, Uae",43585888,,
MVR DIAGNOSTIC CLINIC L.L.C,DXB,CLINIC,DUBAI,"MEZZANINE FLOOR, SHOWROOM 2, FLORA INN HOTEL, AL GARHOUD",05-65455311,,
Neuberg Diagnostics Middle East Llc (Ex. Minerva Diagnostic Laboratory ),DXB,Dx & Lab,Karama,"M13, Umm Hurair Building, Al Zabeel Road, Dubai",43343727,,
Ph Diagnostics Llc,DXB,Dx & Lab,Burdubai,"P H Diagnostics Llc,  Al Abbas Building-1 , First Floor,   Khalid Bin Waleed Street (Bank Street), Burdubai, Dubai",43543350,,
Star Metropolis Clinical Lab & Health Services ME,DXB,Dx & Lab,Bur Dubai,"8th Floor, Al Mussalla Towers, Khalid Bin al Waleed Road, Bur Dubai - Dubai",43231647,,
Trust Medical Laboratory,DXB,Dx & Lab,Al Mamzaar,M01 Same Building Of Dubai Slamic Bank Al Mamzar Dubai,42398766,,
York Diagnostic Laboratories Jlt,DXB,Dx & Lab,Jumierah Lakes Towers,"Indigo Tower, Office 509-510, Jumeira Lakes Towers, Cluster D, P.O.Box 282482, Uae, Dubai",44327470,,
Aster Cedars Hospital Jebel Ali ( Excedar Jebel Ali International Hospital - Dxb,DXB,Hospital,Jebel Ali,"Dugas Road, Jebel Ali 1, P. O. Box: 17666, Jebel Ali, Dubai, Uae",44400500,,
ASTER HOSPITAL BR OF ASTER DM HEALTHCARE,DXB,HOSPITAL,MANKHOOL,"AL RAFA STREET,  MANKHOOL",04-4400500,,
Aster Hospital Sonapur Llc,DXB,Hospital,Sonapur,"Aster Hospital, Near To Access Clinic, Algeria Street, Sonapur, Muhaisnah",44400500,,
INTERNATIONAL MODERN HOSPITAL,DXB,HOSPITAL,BUR DUBAI,"PORT RASHID ROAD, NEAR CAPITOL HOTEL",04-4063000,,
MEDEOR 24 X 7 HOSPITAL LLC,DXB,HOSPITAL,BUR DUBAI,"EMBASSY DISTRICT, UMM HURAIR-1, SHEIKH KHALIFA BIN ZAYED STREET, (D 88)",04-3500600,,
Serah Opticals L.L.C,DXB,Optical,Deira,"Next to Salahuddin Metro Station, Reefmall, DubAI",42342329,,
Serah Opticals L.L.C  (Branch) Al Shindagha City Centre,DXB,Optical,Al Shindagha City Centre,"City Centre Al Shindagha, Al Ghubaiba Rd, Dubai",45475996,,
Serah Opticals L.L.C  (Branch) Barsha,DXB,Optical,Al Barsha-1,"Opp to lulu hypermarket, Al Barsha, Dubai",42505735,,
800 Pharma Fz-Llc,DXB,Pharmacy,Jumeirah Village,"Ground Floor, He Hotel Apartment Building JVC, Street 2, Jumeirah Village, Dubai",45843143,,
800 Pharma Pharmacy Llc,DXB,Pharmacy,Barsha Heights,"Ground Floor, Atana Hotel, Barsha Heights, Dubai",65579567,,
800 Pharmacy Fz-Llc,DXB,Pharmacy,"Shop 01,Ground floor  within City Pharmacy C/P 72 in Phase 1 of Dhcc",01 Ground Floor Bldg 72 Dubai Healthcare City Dubai United Arab Emirates,43466889,,
800 Pharmacy Llc Branch Ex: Marina Pharmacy (Park) Br,DXB,Pharmacy,Knowledge Village,"Park Bldg., Ground Fl., Opp. Cordova Residence, Near Mosque, Beside Aswaq Market, Knowledge Village",43466889,,
800 Pharmacy LLC Ex: Marina Pharmacy - Star - DXB,DXB,Pharmacy,Dubai Marina Towers,Dubai Marina And Jumeirah Beach Marina Walk Dubai Marina Towers -Retail B10,43466889,,
ABEER AL NOOR PHARMACY LLC,DXB,PHARMACY,AL RASHIDIYA,"RASHIDIYAT MAHALAT BUILDING PLOT NO 348 SHOP NO 11, 12 BEHIND SOUGAT CENTRE RASHIDIYA",04-2362053,,
Abeer Alnoor Polyclinic Llc Pharmacy-Branch,DXB,Pharmacy,Muhaisnah 2,"Abeer Al Noor Polyclinic, Grand Mart Mall, Muhaisnah 2, Dubai, U.A.E",43298661,,
Abris Pharmacy Llc,DXB,Pharmacy,Bur Dubai,"Souq Al Kabeer Bulding, Opp Ubai Musium, Meena Bazar, Al Fahidhi, Bur Dubai",43535357,,
Absolute Wellness Medical Centre Pharmacy,DXB,Pharmacy,Al Quoz 3,Salman Ebrahim Commercial Building Latifa Bint Hamdan Al Quoz 3 Dubai UAE,48863521,,
Abwab Al Kheir Pharmacy L.L.C,DXB,Pharmacy,Muraqabat,"Muraqabat Commercial  Ground Shop #4  SalahAldin  Muraqabat, Dubai ,UAE",45183402,,
Access Pharmacy 2 Br Of Aster Pharmacies,DXB,Pharmacy,Sonapur,"Access Clinic Building, Al Muhaisina-2, Sonapur, Near To Bus Station",42637531,,
Access Pharmacy 3 Br Of Aster Pharmacies Group Llc,DXB,Pharmacy,DIP 2,"Shop No:8, 550 SQFT.AT, Plot # 597-874, DIP-2, Near to Access Clinic DIP",48833862,,
Access Pharmacy Br Of Aster Pharmacies Group Llc,DXB,Pharmacy,Al qouz,"Al Arif Building, Gf-1, Al Qouze-3, Al Qouze",43807218,,
Advanced Care Pharmacy - Dxb,DXB,Pharmacy,Industrial Area-3,"Room No -1, 
Fakhruddin Properties Building, 
Behind National Cement Factory, 
Industrial Area-3, Al Quoz, Dubai - Uae",43307120,,
Advanced Care Plus Pharmacy Llc - Dxb,DXB,Pharmacy,Jebel Ali,"Awqaf Building,
Near To Uaexchange Center, 
Jebel Ali Industrial Area 1, 
Jebel Ali, Dubai  Uae",48829444,,
Ajmal Pharmacy -Dxb,DXB,Pharmacy,Karama,"Smc Building, Oppt Karama Bus Station And Near Karama Fish And Vegetable Market",43360801,,
Al Ahram Pharmacy,DXB,Pharmacy,Al Satwa,"Opposite Satwa Bus Station, Al Satwa Street, Satwa Dubai",43318060,,
AL BAIROONI PHARMACY,DXB,PHARMACY,KARAMA,HAMAD MOHAMMED SAEED BIN HUMAIDAN BUILDING,04-3709179,,
AL BARAKA PHARMACY,DXB,PHARMACY,DEIRA,AL BARAKA PHARMACY DUBAI -SANA GROUP OF PHARMACIES,04 -2230500,,
Al Barsha Alnoor Polyclinic Pharmacy,DXB,Pharmacy,Al Barsha 1,"Elite Business Centre, 3rd Floor, Room Number 301, Al Barsha 1 - Dubai, UAE",43298661,,
AL CORNICHE PHARMACY,DXB,PHARMACY,JUMEIRAH,"JUMERIAH 1, JUMEIRAH BEACH CENTRE,",04-3447220,,
Al Ehsan Pharmacy - (Moopen'S Group),DXB,Pharmacy,Deira,"Al Shaab Colony, Hor Al Anz - Deira Dubai",42975986,,
AL FAISAL PHARMACY,DXB,PHARMACY,UMM SUQUIEM,"UMM SUQUIEM, CHOITHRAM COMPLEX,",04-3485102,,
Al Farah Pharmacy Llc,DXB,Pharmacy,Al Nahda 1,"Behind Sahara Centre, Al Nahda 1, Dubai",42507306,,
Al Fardoos Pharmacy - Dxb,DXB,Pharmacy,International City,"Supreme Residency, International City",44410590,,
AL GHUBAIBA PHARMACY,DXB,PHARMACY,BUR DUBAI,"ICE FACTORY BUILDING, SHINDAGHA",04-3266042,,
Al Hana Pharmacy Llc,DXB,Pharmacy,Al Mankhool,"Al Hana Shopping Center Al Mankhool Road Street Jafiliya Dubai, UAE",42719122,,
Al Hawi Pharmacy - Life Healthcare,DXB,Pharmacy,Deira,"Naser Square, Deira, Dubai",45610000,,
Al Hokamaa Pharmacy Llc,DXB,Pharmacy,Al Qusais 1,"Al Wasl Building Block-B,Shop No -22, Al Qusais",42613151,,
Al Jabri Pharmacy,DXB,Pharmacy,Al Mizhar,Al Mizhar 1,42875296,,
Al Jaseel Pharmacy Llc,DXB,Pharmacy,Al Qouz,"Alqouz-3 , Al Rostamani Road, Al Hashimi Bulding , Dubai-Uae",43213441,,
Al Juma Pharmacy (Ex - Al Suwaidi Pharmacy) - (Moopen'S Group),DXB,Pharmacy,Karama,Opp. To Lulu Centre - Karama,43348981,,
Al Jumeiyah Al Taawoniyah Pharmacy Llc- Dxb,DXB,Pharmacy,Karama,"Shop No. 2, Ground Floor, Union Co-Op Society, 30Th Street, Mankhool, Karama Dubai - U.A.E.",43986302,,
Al Kanz Pharmacy - Life Healthcare Group,DXB,Pharmacy,Deira,"Abu Baker Al Sidq Road, Deira",45610000,,
Al Kanz Pharmacy (L.L.C.),DXB,Pharmacy,JLT,"Lakeshore Tower ( Bojwani), JLT,Dubai Cluster Y ,Dubai , U. A. E",45610000,,
Al Khan Pharmacy Llc,DXB,Pharmacy,Al Qusais 2,"Damascuss Street, Opp. Emirates NBD, Al Qusais 2, Dubai - UAE",42634347,,
Al Khawaneej Pharmacy,DXB,Pharmacy,Al khawaneej,"Khalaf Matar Building,Al Khawaneej",42892210,,
Al Mankhool Pharmacy,DXB,Pharmacy,Karama,19 A Street، Aman Street، Al Nahda 2 - Dubai,42554427,,
AL MANZIL AL JADEED PHARMACY LLC,DXB,PHARMACY,RAS AL KHOR,"VEGETABLE AND FRUIT MARKET, SHOP NO 12, AL AWEER, RAS AL KHOR",06-7432297,,
Al Mulayim Pharmacy Llc,DXB,Pharmacy,Muhaisnah,Sonapur Building 28th Street Muhaisnah Dubai UAE PO Box 2645028,45587617,,
Al Musalla Pharmacy(Medshop) - (Moopen'S Group),DXB,Pharmacy,musalla,"Kharbash Building,Jumeriah Road,Umm Suqem 1",43284548,,
Al Nahda Pharmacy Llc,DXB,Pharmacy,Ras Al Khor,"Wassel Bldg. Shop No. 3, Near Sahari Village, Opposite Auto Market, Ras Al Khor, Dubai",43200501,,
AL NASEEM PHARMACY,DXB,PHARMACY,AL QUSAIS,"SHEIKH COLONY, NEW TALAL SUPERMARKET BLDG .",04-2635277,,
Al Neem Pharmacy Llc Branch,DXB,Pharmacy,International City,"J07, Morocco Cluster-International City, Dubai",45841144,,
Al Omaraa Pharmacy,DXB,Pharmacy,Sheikh Khalifa Bin Zayed Road,"Shop # 27 & 28, Ground Floor, Pyramid Building, Sheikh Khalifa Bin Zayed Road",43969221,,
Al Plaza Pharmacy L.L.C.(Branch ),DXB,Pharmacy,Al Mamzar,"Shop No. 5, The Crown Building, 53rd St, Al Mamzar, Dubai",43233532,,
Al Plaza Pharmacy Llc,DXB,Pharmacy,Production City,"Lagovista Tower A, Shop No. R18, Ground Floor, Dubai Production City Dubai",45858945,,
Al Qoze Pharmacy (Medshop) - (Moopen'S Group),DXB,Pharmacy,Al qouz,Near Khalifa Super Market - Al Qouz,43384401,,
Al Quoz Advanced Care Pharmacy Llc-Dxb,DXB,Pharmacy,Al Quoz,"Room No -1, Fakhruddin Properties Building, Behind National Cement Factory, Industrial Area-3, Al Quoz",43307120,,
AL RAFAH PHARMACY,DXB,PHARMACY,BUR DUBAI,"BEHIND PLAZA CINEMA, BUR DUBAI",04-3939402,,
Al Raha Pharmacy(Medshop) - (Moopen'S Group),DXB,Pharmacy,Bur Dubai,Khalid Bin Waleed Rd - Bur Dubai,43523383,,
Al Rasheed Pharmacy Llc,DXB,Pharmacy,Deira,"Shop # 7-8, Ground Floor, Al Maktoum Building, Omar Bin Al Khattab Road, Al Baraha, Deira, Po Box: 251702",42721108,,
Al Safa Al Quoz Pharmacy,DXB,Pharmacy,Al quoz,"Behind Al Quoz Bowling Centre, Al Quoz First Block No:1189, Al Quoz",43808824,,
Al Shifa Pharmacy (Medshop) - (Moopen'S Group),DXB,Pharmacy,Karama,Near Union Medical Centre - Karama,43969469,,
Al Tamimi New Pharmacy,DXB,Pharmacy,Al qouz,"Behind Oasis Centre, Al Quoz Bowling Centre Road, Opp. Jmart Super Market, Dubai.",43381913,,
Al Tamimi New Pharmacy Llc Branch,DXB,Pharmacy,Al Satwa,"Next to UAE Exchange Al Satwa, Dubai UAE",43249218,,
Al Tamimi Pharmacy L.L.C - Dxb,DXB,Pharmacy,"Al Qouz-1,Dxb","Behind Al Quoz Bowling Centre, Next To Al Quoz Health Centre, Al Quoz, Dubai",43381455,,
Al Wafi Pharmacy Llc,DXB,Pharmacy,Wadi Al Safa 5,"Dubai Land, Ajmal Sara Tower, PO Box 92947",44334729,,
Al Warqa Pharmacy (Medshop) - ( Dr Moopen'S Group),DXB,Pharmacy,Al Warqa,Near Mass Super Market - Warqa,42801691,,
Al Zahra Pharmacy - Life Healthcare,DXB,Pharmacy,Karama,"Opposite Uae City Exchange, Karama",45610000,,
Alfa Pharmacy - Dxb,DXB,Pharmacy,Al Qusais,"Alfattan Building ,Qusais",42806714,,
Alico Advanced Care Pharmacy Llc,DXB,Pharmacy,Dubai Investment POark,"Al Madina Hypermarket Building, 44th Street, Dubai Investment Park 1, Dubai, UAE",43463099,,
Alpha Star Pharmacy Llc,DXB,Pharmacy,Karama,"Amber Bldg., Karama Dubai Uae",44517427,,
Amaan Pharmacy Llc,DXB,Pharmacy,Amaan,"Lulu Village , Al Muhaisnah-4, Dubai",42647264,,
Amber Clinics Llc Community Pharmacy,DXB,Pharmacy,Al Rigga,"Amber Clinic, Al Rigga",42325109; 42325342,,
Amber Pharmacy L.L.C,DXB,Pharmacy,Al Qusais,"Qusais Manzil Building , Shaikh colony,  Shop number 5A,
Al Qusais 1, Dubai UAE",43558458,,
Apple Care Pharmacy Llc Br - Jafza,DXB,Pharmacy,Jafza,"ICARE BLUE Building, No.WA02O01, Jafza + (Jebeel Ali Housing Scheme), Jafza, Jebel Ali",48876483,,
Ardh Al Naseem Pharmacy,DXB,Pharmacy,Al Nahda-2,"Al Magrudy Residence Al Magrudy Residence, Near Carrefour Express, Amman Street, Al Nahda-2",42809242,,
Arincare Pharmacy Llc,DXB,Pharmacy,Muhaisnah 4,"Talal Plaza Mall, Mezanine Floor, Muhaisnah 4, Dubai",43952774,,
Asma Pharmacy (Medshop) - (Moopen'S Group),DXB,Pharmacy,Naif Souq,Behind Naif Police Station - Deira Dubai,42222786,,
Aster Al Hayat Pharmacy Br Of Aster Pharmacies Group Llc,DXB,Pharmacy,Bur Dubai,"Shop No 3,Easa Saleh Al Gurg Building,Near To Al Adil Super Market, Rolla Street,Burdubai",43552633,,
Aster Al Shafar ( Ex-Lamcy Pharmacy),DXB,Pharmacy,Muhaisina,"Block C, Shop No.4 , Al Muhaisnah Star Building ,Opposite Rta Office,Lulu Village, Muhaisina",42201489,,
ASTER DAY SURGERY CENTRE PHARMACY LLC,DXB,PHARMACY,BUR DUBAI,"MANKHOOL, MOHAMMAD HUSSAIN ALI YATEEM,AL RAFFA, BUR DUBAI",04-3814987,,
Aster Dcc Pharmacy Llc,DXB,Pharmacy,Deira City Center,"Shop No. M-020, 1St Floor, Deira City Center, Deira, Opposite Carrefour Hypermarket, Dubai, Uae",42210732,,
Aster Dip Pharmacy Llc - Dxb,DXB,Pharmacy,DIP,"Ramla Hypermarket, Dubai Investment Park",48800996,,
Aster Grand Pharmacy - Dxb,DXB,Pharmacy,Al Nahda 1,"Ab Plaza Building, Ground Floor, Shop No.8 Al Nahda , Dubai",42505712,,
ASTER HEALTHCARE HYPER MARKET (BR OF ASTER PHARMACIES GROUP LLC),DXB,PHARMACY,MANKHOOL,"AL RAFFA BUILDING, OPP. ASTER HOSPITAL, MANKOOL,  BURDUBAI",04-2505712,,
Aster Hospital Pharmacy Br Aster Dm Healthcare Fzc Dubai Branch,DXB,Pharmacy,Bur Dubai,"Al Mankhol, Kuwait Street, P.O.Box: 119428, Dubai, Uae",44400500,,
Aster Hospital Pharmacy Sonapur Llc,DXB,Pharmacy,Sonapur,"Aster Hospital, Near To Access Clinic, Algeria Street, Sonapur, Muhaisnah",44400500,,
Aster Jbr Pharmacy - Dxb,DXB,Pharmacy,Jumeirah Beach Road,"P42, Plaza Level,Sadaf4,The Walk, Jbr",44471127,,
Aster Jebel Ali Pharmacy - Dxb,DXB,Pharmacy,Jebel Ali,"Nesto Hypermarket, Shop No 5, Jebelali",48840237,,
Aster Medical Center Pharmacy Al Muhaisna Br Of Dm Healthcare Llc,DXB,Pharmacy,Muhaisnah 4,"Shop No1, Zaraa residence 1, Muhaisnah 4, Lulu village, Behind St.Mary's catholic high school, Dubai",45479070,,
ASTER MEDICAL CENTRE ARABIAN RANCHES PHARMACY BR OF DM HEALTHCARE LLC,DXB,PHARMACY,DUBAI,"1ST FLOOR, EMAAR MALL, NEAR ASTER CLINIC, THE RANCHES SOUK, ARABIAN RANCHES 2, DUBAI",04-3092900,,
Aster Pharmacies Group Branch Expo 2020,DXB,Pharmacy,Expo 2020,"GF1, Sustainability Pavilion, Expo 2020",45477218,,
ASTER PHARMACIES GROUP LLC (DMCC BRANCH),DXB,PHARMACY,JUMEIRAH LAKES TOWERS,"SHOP NO-5, GROUND FLOOR, ME DO RE RESIDENTIAL TOWER, CLUSTER L, JUMEIRAH LAKES TOWERS, AL THANYAH FIFTH, DUBAI",04-5917109,,
Aster Pharmacy - Tecom - Dxb,DXB,Pharmacy,Tecom,"Ground Floor, Icon Tower, Behind Byblos Hotel, Barsha Height, Tecom",44534840,,
Aster Pharmacy 1 - Dxb,DXB,Pharmacy,Bur Dubai,"Kalid Bin Waleed Road, Burdubai",43863800,,
