PROVIDER NAME,EMIRATE,NETWORK_TIER,AREA,TELEPHONE,PROVIDER TYPE,lat,lon
KINGS COLLEGE HOSPITAL LONDON MEDICAL AND AESTHETIC CENTRE (BR OF KCH HEALTHCARE LLC),DXB,"PLATINUM,G PLUS,GOLD","GROUD FLOOR, MARINA WALK MALL, DUBAI MARINA",04-5199791,MEDICAL CENTER,25.087783,55.148204
WINDSOR MEDICAL CENTER L.L.C,DXB,"PLATINUM,G PLUS,GOLD,SILVER","36 VILLA COMPLEX ,JUMEIRA,VILLA-24,AL SAFFA 2ND",04-3955540,MEDICAL CENTER,25.163729,55.22299
KINGS COLLEGE HOSPITAL LONDON MEDICAL AND DIABETES CENTRE ( BR OF KCH HEALTHCARE LLC),DXB,"PLATINUM,G PLUS,GOLD",VILLA NO 5 & 6 DUBAI HILLS ESTATE  AL BARSHA SOUTH DUBAI,04-4818 5666,MEDICAL CENTER,25.1129,55.2471
KINGS COLLEGE HOSPITAL LONDON MEDICAL AND PHYSIOTHERAPY CENTRE ( BR OF KCH HEALTHCARE LLC),DXB,"PLATINUM,G PLUS,GOLD",PH102 R02 DUBAI HILLS ESTATE  AL BARSHA SOUTH DUBAI,04-48185666,MEDICAL CENTER,25.1129,55.2471
LIFE MEDICAL CENTRE 5 BR OF LIFE CLINIC LLC,DXB,"PLATINUM,G PLUS,GOLD,SILVER","CHEZ MOI BUILDING - SHOP NO: 1,2,3,4, PLOT NO: 211 - INTERNATIONAL CITY PHASE(2) - WARSAN 4",04-5610000,MEDICAL CENTER,25.148298,55.40445
SMILE POINT MEDICAL CENTRE L.L.C,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","ASWAAQ MALL BUILDING,SHOP NO-2,AL WARQAA-3",04-2324499,MEDICAL CENTER,25.1848,55.418042
LIFE MEDICAL CENTRE 6 (BR OF LIFE CLINIC L.L.C),DXB,"PLATINUM,G PLUS,GOLD,SILVER","NEXT TO FITNESS FIRST, DEIRA CITY CENTRE, DUBAI",04-5610000,MEDICAL CENTER,25.253724,55.330711
SYNERGY INTEGRATED MEDICAL CENTRE (EXCLUDING DENTAL,DXB,PLATINUM,"AL MANARA,",04-3485452,MEDICAL CENTER,25.142433,55.206733
MARINA MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","MEZZANINE FLOOR, AL SOOR BUILDING,AL SOOR AREA,AL MINA ROAD",06-5625234,MEDICAL CENTER,25.36185,55.39115
RIGHT MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",KING FAISAL STREET,06-5551575,MEDICAL CENTER,25.333233,55.39435
MAMPILLY MEDICAL CENTRE (,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","SHARJAH GOLD CENTRE (1ST FLOOR),",06-5616464,MEDICAL CENTER,25.356407,55.387889
SUNNY MEDICAL CENTRE L L C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",SHABA,06-5388966,MEDICAL CENTER,25.338058,55.4278
DR. WAFA ABDUL MONEIM SHALABY (EXCLUDING DENTAL),SHJ,"PLATINUM,G PLUS,GOLD,SILVER",AL MAJAZ 3,06-5566855,MEDICAL CENTER,25.323752,55.382739
DR. SANJAY MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL NABAA,06-5626525,MEDICAL CENTER,25.364817,55.393683
DOCTORS MEDICAL CENTRE L.L.C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",2ND FLOOR ABOVE THOMAS COOK AL ROST,06-5632100,MEDICAL CENTER,25.354265,55.38651
CLASS MEDICAL CENTRE (EXCLUDING DENTAL),SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,ASASI",AL MAJARRAH - A,04-3335502,MEDICAL CENTER,25.362959,55.390518
PRIME MEDICAL HOSPITAL FOR ONE DAY SURG,SHJ,"PLATINUM,G PLUS,GOLD,SILVER","IMMIGRATION ROAD, NEAR MASHREQ BANK,KING ABDUL AZIZ ST, AL QASIMIA",06-5752200,MEDICAL CENTER,25.344633,55.393283
AL AHLIA REGIONAL MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL MUSALLAH STREET,06-5621700,MEDICAL CENTER,25.355503,55.400201
BHATIA CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",ROLLA STREET,06-5753888,MEDICAL CENTER,25.3607,55.387809
AL WAHDA MEDICAL CENTRE (SHARJAH),SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL NAHDA SHARJAH.,06-5259888,MEDICAL CENTER,25.300984,55.379012
SAMNAN MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL WASIT STREET,06-5663500,MEDICAL CENTER,25.346317,55.422617
AL MADAR MEDICAL CENTER SHARJAH,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",CORNICHE BUHAIRA,06-5548558,MEDICAL CENTER,25.327139,55.378185
LIFEWAY SPECIALIZED MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER",AL MAMZAR AREA,06-5304900,MEDICAL CENTER,25.35752,55.391878
SABAH AL NOOR MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","KING FAISAL ST,ABU SHAGARA",06-5558441,MEDICAL CENTER,25.334233,55.39215
ENJAB MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",DURAR TOWER,06-5563433,MEDICAL CENTER,25.323839,55.383153
UNICARE MEDICAL CENTRE L.L.C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",ROLLA STREET OPP. AL ZAHRA HOS.,06-5630313,MEDICAL CENTER,25.361032,55.394171
THUMBAY MEDICAL & DENTAL SPECIALITY CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",SHARJAH COMMERCIAL MOOLIH,06-5358111,MEDICAL CENTER,24.105117,55.83025
EMIRATES MEDICAL CENTER L L C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",KING FAISAL STREET,06-5551666,MEDICAL CENTER,25.344724,55.393157
REEM MEDICAL DIAGNOSTIC CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL NAHDA AREA,06-5620831,MEDICAL CENTER,25.30087,55.372636
REEM AL NAHDA MEDICAL DIAGNOSTIC CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL SHAIBA BUILDING , AL NAHDA",06-5304864,MEDICAL CENTER,25.30087,55.372636
SPECIALIZED MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","SALEM BUILDING, BUHAIRA CORNICHE",06-5736800,MEDICAL CENTER,25.325017,55.3804
BISSAN MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD",GOLDEN TOWER FLAT 103 FIRST FLOOR,06-5737005,MEDICAL CENTER,25.3414,55.385817
SALAMATY MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","FALAJ RD.,HUSSEIN PARK,AL DHAID",06-8833226,MEDICAL CENTER,25.298617,55.87805
DR.FATIMA NOOH MEDICAL CENTER.LLC,SHJ,PLATINUM,"SAMNAN AREA, WASIT ST",06-5661777,MEDICAL CENTER,25.339267,55.4275
AL BANNA MEDICAL CENTRE (EXCLUDING DENTAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",Industrial 3 -,06-5327228,MEDICAL CENTER,25.344705,55.39055
AL HASHMI MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",KHORFAKKAN,09-2383448,MEDICAL CENTER,25.365046,55.389224
AJYAD MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER",CORNICHE BUHAIRAH/AL FARDAN CENTER,06-5547745,MEDICAL CENTER,25.323696,55.382723
ARAB DOCTORS SPECIALIST CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER",AL TAOUWN STREET,52-2393055,MEDICAL CENTER,25.31775,55.375783
PRIME MEDICAL CENTRE AL NAHDA,SHJ,"PLATINUM,G PLUS,GOLD,SILVER","AL RODA TOWER 2,MALAKA STREET ,",06-5251800,MEDICAL CENTER,25.270867,55.32215
AL MALIHA MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",Salim Bin jersh,06-8823334,MEDICAL CENTER,25.281146,55.876287
SUNNY SPECIALITY MEDICAL CENTRE L.L.C. SHJ 3,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","HABIB BANK AG ZURICH, BANK STREET,",06-5688707,MEDICAL CENTER,25.357662,55.387125
AL ENWAN MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","SH.KHALED ST,BARDI,NEAR UNION BANK,",09-2383881,MEDICAL CENTER,25.341424,56.348987
AL SHIFA MEDICAL CENTRE (EXCLUDING PEDIATRICIAN DR AMIN BAKR D53520),SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","KHALID ST.OPP.OMAR MOSQUE,KHORFAKAN",09-2384288,MEDICAL CENTER,25.343,56.348916
SUNRISE MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","MINA ROAD, MEZZANINE FLOOR,AL SOOR",06-5757003,MEDICAL CENTER,25.351756,55.386904
AREEJ MEDICAL CENTER LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","NEAR AL QASSIMI HOSPITAL,",06-5218612,MEDICAL CENTER,25.34556,55.431799
AL ZUMURUD MEDICAL CENTRE L.L.C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","SAMNAN,WASIT ROAD",06-5316697,MEDICAL CENTER,25.335734,55.424803
KKT INTERNATIONAL MEDICAL CENTER (EXCLUDING DENTAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","17 FLOOR AL ALBATHA TOWER,CORNICHE",06-5658880,MEDICAL CENTER,25.334366,55.38917
AHLAN MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","NBAD BLDG,OPP.SAHARA CENTRE,AL NAHD",06-5305882,MEDICAL CENTER,25.357582,55.391908
OXYGEN MEDICAL CENTER SHARJAH,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","ALHELAL TOWER, ALWAHDA ST, ALKHAN",06-5544485,MEDICAL CENTER,25.309495,55.37644
PRIME SPECIALIST MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER","KING FAISAL STREET, AL MAJAZ",06-5752200,MEDICAL CENTER,25.344602,55.393555
MADINAT AL AIN MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL WASIT STREET, AL SHAHBAH AREA",06-5388235,MEDICAL CENTER,25.335038,55.425294
AL DALIL MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",WASIT STREET SAMNAN,06-5236566,MEDICAL CENTER,25.33616,55.425304
AL SHIFA AL UROPI MEDICAL CENTER LLC.,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","QADISSIYA BLDG, NEAR SAHARA CENTER,",06-5376969,MEDICAL CENTER,25.299605,55.379935
AL HELAL MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","OPPOSITE POST OFFICE, SH KHALID ST",09-2382688,MEDICAL CENTER,25.135625,56.354292
SHIFA AL JAZEERA MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL ZAHRA STREET SHAIKH ABDULLAH ALI,06-5218889,MEDICAL CENTER,25.358324,55.394305
AL BISHARAH MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","SARH AL EMARAT TOWER,CORNICHE BUHAI",06-5544731,MEDICAL CENTER,25.33627,55.375599
AL AFYA MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",RONA CARGO BUILDING ROLLA,06-5626060,MEDICAL CENTER,25.355434,55.391246
SAHARA MEDICAL CENTRE LLC.,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","OPP LULU HYPER MARKET, AL NAHDA PAR",06 5318887,MEDICAL CENTER,25.301485,55.375094
SHIYAS & IFTHIKAR MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","ABOVE ATLAL ROASTERY,NEXT TO HALWAN",06-5668745,MEDICAL CENTER,25.346799,55.433252
AL YASMEEN MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",ALNAHDA - ETIHAD ROAD,06-5750401,MEDICAL CENTER,25.302048,55.367594
GANIN MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","BUHAIRA CORNICHE,",06-5315553,MEDICAL CENTER,25.336297,55.375106
NATIONAL CENTER OF MODERN MEDICINE (,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","MALIK FATIMA, WASIT ST., AL FALAJ",06-5233300,MEDICAL CENTER,25.356598,55.440088
ASTER ABU TINA MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",SH.MAJID BIN SAUD BIN KHALID BLDG,06-5619045,MEDICAL CENTER,25.375103,55.400563
ASTER ABU SHAGHARAH MEDICAL CENTER (EXCLUDING DENTAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","NEAR ABU SHAGARA PARK, ABU SHAGARA",06-5568225,MEDICAL CENTER,25.338684,55.394988
MEDCARE AL NAHDA MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER","AL TAAWUN STREET, SAME BUILDING OF",06-5257497,MEDICAL CENTER,25.311042,55.373793
ALFAIHA MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",BUHAIRA CORNICHE AL DURRAH,06-5544420,MEDICAL CENTER,25.323679,55.382772
SUNNY SHARQAN MEDICAL CENTRE L.L.C,SHJ,"PLATINUM,G PLUS,GOLD,BLUE",AL SHARQAN - EXTENSION AL AROUBA ST,06-5667996,MEDICAL CENTER,25.38118,55.406274
ANEES ALI MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","KAIRALI JEWLERS BLDG., ROLLA",06-5620181,MEDICAL CENTER,25.35604,55.388703
AL MOOSA PRIVATE MEDICAL CENTER LLC SHJ (EXCLUDING DENTAL,SHJ,"PLATINUM,G PLUS,GOLD","CRYSTAL PLAZA BLOCK C 4,  BUHAIRAH",06-5618178,MEDICAL CENTER,25.344986,55.38657
SANA HABIB MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",405/406-4TH FLOOR-KING FAISAL STREE,06-5396566,MEDICAL CENTER,25.344769,55.387467
AL NAHDA MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL NAHDA,06-5384466,MEDICAL CENTER,25.303649,55.383601
MGM MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",KING FAIZAL ROAD,06-5741444,MEDICAL CENTER,25.33809,55.389521
AL MAJAZ MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",JAMAL ABDUL NASSER ST,06-5560513,MEDICAL CENTER,25.317083,55.382158
BRISTOL MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","JUMA AL MAJID RESIDENTIAL COMPLEX,",06-5266615,MEDICAL CENTER,25.299582,55.373211
AL AMUMAH MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","NOOR BUILDING, AL SHARQ ST, AL NABA",06-5667661,MEDICAL CENTER,25.366864,55.394802
SAIFZONE MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","F2-42 A P.O.BOX NO 7882,",06-5578471,MEDICAL CENTER,25.334642,55.489515
LIMAR MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL MAJAZ1,06-5744245,MEDICAL CENTER,25.33665,55.387267
AL SABAH MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL BHAKITH BULIDING,1ST FLOOR,MUWAILAH,NEAR SHARJAH NATIONAL PAINTS",06-5315001,MEDICAL CENTER,25.291388,55.44457
SUNNY HALWAN SPECIALITY MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","OPPOSITE AL QASMIA HOSPITAL,WASIT STREET SHAHBA",06-5061666,MEDICAL CENTER,25.341705,55.429108
SUNNY MAYSALOON SPECIALITY MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","NEAR LULU HYPERMARKET,MAYSALOON,KUWAIT STREET",06-5455966,MEDICAL CENTER,25.360901,55.406899
ASALA MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL ZAHRA STREET, AL NABAA AREA",06-5688600,MEDICAL CENTER,25.364336,55.399228
AL MANARAH MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL MAJAZ 3 NEAR HILTON SHARJAH,06-5266060,MEDICAL CENTER,25.334825,55.375927
AL ARIF HEART & CHILDRENS MEDICAL CENTRE LLC,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL ANDALUS TOWER, NEAR MUJARAH PARK, OPP. MUBARAK CENTER, NEXT TO LULU CENTER, ROLLA-",06-7154999,MEDICAL CENTER,25.365894,55.393429
EMIRATES INTERNATIONAL MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL SHARQ STREET, AL MIRGAB",06-5557040,MEDICAL CENTER,25.38955,55.419563
ISHAQ BIN OMRAN MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER","SHEIKH SALEM AL QASSIMI STREET, AL QARAYEN",06-5180800,MEDICAL CENTER,25.300456,55.538822
AL DHAID MEDICAL CENTRE,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","BEHIND VEGETABLE MARKET,OLD HOSPITAL ROAD, AL DHAID",06-8823535,MEDICAL CENTER,25.289706,55.879317
HANNOVER MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",ALBUHAIRA ALSARH BUILDING SAME BUILDING OF NOUR BANK,06-5433226,MEDICAL CENTER,25.336221,55.37553
STARCARE MEDICAL CENTER L.L.C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","FIRST FLOOR, MALABAR PLAZA, AL GHUWAIR, AL AROWBA 8TH STREET, OPP. ROLLA PARK",06-5611099,MEDICAL CENTER,25.35679,55.388504
ASTER AL NAHDA MEDICAL CENTER - 1,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL SHAIBA BUILDING, GROUND FLOOR, OPP. CARREFOUR EXPRESS, AL NAHDA AREA",06-5958792,MEDICAL CENTER,25.301347,55.372799
ASTER MUWAILEH MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","MUWAILEH - BH STREET SH.MOHAMED BIN ZAYED, BULDING - BIN THARYEM -8,GROUND FLOOR",06-5358027,MEDICAL CENTER,25.310408,55.451172
AL-SIDDIQ MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL-DHAID SHARJAH, NEAR OLD POLICE STATION",06-8822046,MEDICAL CENTER,25.281889,55.877813
AL RABI MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",KHORFAKKAN - HEYAWA,09-2372222,MEDICAL CENTER,25.34682,56.357002
ASTER AL SUWAIHAT MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","SHARJAH CO OP BUILDING ,GROUND FLOOR,WASIT STREET",06-5210102,MEDICAL CENTER,25.349627,55.460913
COSMESURGE & EMIRATES CLINICS FOR ONE DAY SURGERY LLC . SHJ . BR,SHJ,"PLATINUM,G PLUS,GOLD,SILVER","CORNICHE ROAD, BETWEEN SHARJAH LADIES CLUB AND CORAL BEACH HOTE",06-5245444,MEDICAL CENTER,25.2272,55.2832
ASNANI WA SEHATI MEDICAL CENTER,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","M01,M08,M09,M10,M11, HAYAWA ,KHORFAKHAN,",09-2380008,MEDICAL CENTER,25.351661,56.350288
ZULEKHA MEDICAL CENTER AL KHAN LLC SOLE PROPRIETORSHIP,SHJ,"PLATINUM,G PLUS,GOLD,SILVER","1ST FLOOR, THE GATE TOWER BUILDING, AL KHAN",06-5060499,MEDICAL CENTER,25.31363,55.36918
ADVANCED MEDICAL CENTRE,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL KARAMA PLAZA,06-7459969,MEDICAL CENTER,25.410938,55.444028
EVE MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER",OPPOSITE TO NEW AJMAN,06-7498042,MEDICAL CENTER,25.404166,55.507462
IBIN SINA MEDICAL CENTRE AJMAN,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","OPP. ARAB BANK,QUDS ST",06-7457755,MEDICAL CENTER,25.403982,55.441378
INTERNATIONAL SPECIALIST MEDICAL CENTRE,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","KUWAIT STREET, NAUIMIYA",06-7463400,MEDICAL CENTER,25.386129,55.455212
AJMAN MEDICAL CENTRE LLC,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",NEAR SANAYA POLICE STATION,06-7430088,MEDICAL CENTER,25.4014,55.444108
AL JURF MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","FLAT NO.105,  BESIDE MUROOR, JURF",06-7499766,MEDICAL CENTER,25.409714,55.50948
OXYGEN MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",KHALIFA ST 101 UNION INSURANCE BUIL,06-7406022,MEDICAL CENTER,25.39249,55.432483
SPECIALISTS MEDICAL CENTRE,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",SEIK NASSER BUILDING AL ITIHAD STRE,06-7442626,MEDICAL CENTER,25.405217,55.513643
AL ITTIHAD POLYCLINIC AND DIAGNOSTIC CENTRE,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL THURAS BLG, AL ITTIHAD STREET,",06-7441414,MEDICAL CENTER,25.40525,55.4444
AL DHUHA MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL SHURAFA 1, SHEIKH RASHID ROAD,",06-7405633,MEDICAL CENTER,25.396417,55.429754
DEAR HEALTH MEDICAL CENTRE (,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","1ST FLOOR, AL SWAN TOWER, SH.RASHID BIN HUMAID STREET",06-7796622,MEDICAL CENTER,25.390682,55.463447
CITY MEDICAL CENTRE LLC (EXCLUDING DENTAL,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL BUSTAN STREET OPP. POST OFF,06-7441882,MEDICAL CENTER,25.408203,55.445429
IBTESAM MEDICAL CENTRE (EXCLUDING DENTAL,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",NEAR STANBUL MARKET,06-7312929,MEDICAL CENTER,25.392983,55.434955
AL SULTAN MEDICAL CENTRE L.L.C.,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",MUSHAREEF NEAR AJMAN CITY CENTER,06-7444188,MEDICAL CENTER,25.408371,55.464676
AL AIN MEDICAL CENTER L.L.C,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","ALAIN HYPER MARKET BUILDING,AL NUIM",06-7406661,MEDICAL CENTER,25.379967,55.45896
DR ASISH MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",OPPOSITE ETISALAT NEAR AJMAN CITY,06-7435070,MEDICAL CENTER,25.395359,55.47496
RASHID CENTER FOR DIABETES AND RESEARCH,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","UNIVERSITY STREET, NEAR CITY CENTER AJMAN, AL JURF 1",06-7118616,MEDICAL CENTER,25.416468,55.49501
THUMBAY CLINICS LLC ALRASHIDIYAH 1,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","AL-QUDS STREET,  RASHIDIYA-3",06-7119555,MEDICAL CENTER,25.402155,55.444401
AL NUAIMIA MEDICAL CENTRE,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","NEAR SUN CITY OPP SUNCITY SUPERMARKET,",06-7437633,MEDICAL CENTER,25.388713,55.460726
EMIRATES PRIVATE MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","NEW SANAIYA ROAD, INDUSTRIAL AREA",06-7490177,MEDICAL CENTER,25.4052,55.5136
MODERN MEDICAL CENTRE LLC,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","TECTON PLAZA BUILDING,INDUSTRIAL AREA 3,NEAR CIVIL DEFENSE, AL JURF.",06-7469695,MEDICAL CENTER,25.388842,55.459469
AMINA MEDICAL CENTRE L.L.C,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AMINA MEDICAL CENTRE BUILDING, BEHIND AJMAN UNIVERSITY, NEAR CITY LIFE MALL, AL JURF",06-7114444,MEDICAL CENTER,25.415877,55.504335
ASTER SPECIALIST MEDICAL CENTER (BR OF D M HEALTHCARE (L L C) ) - BRANCH 01,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","AL MANAR TOWER, SHEIKH RASHID BIN HUMEED STREET, AL SWAN, RASHIDIA-3",06-5308057,MEDICAL CENTER,25.398178,55.432858
HALA MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AJMAN INDUSTRIAL AREA 2 ALNAYFAH TOWER,06-7729000,MEDICAL CENTER,25.379331,55.462284
JABAL SINA MEDICAL CENTRE LLC,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","GROUND FLOOR, ESCAPE TOWER, SHEIKH RASHID BIN HUMAID STREET",06-7402255,MEDICAL CENTER,25.403039,55.439448
ELAJ MEDICAL CENTRE L.L.C - 01,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",37 COLLEGE STREET - AL NUAIMIYA 2,06-7488808,MEDICAL CENTER,25.231631,55.264513
AL MADAR MEDICAL CENTER,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","AL GHUMLASI BUILDING, SHEIK KHALIFA ROAD, AL NUAMIYA 3",06-7412202,MEDICAL CENTER,25.403522,55.491047
NMC ROYAL MEDICAL CENTRE,RAK,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",QAWASIM CORNICHE,07-2332832,MEDICAL CENTER,25.79055,55.944034
