SL_NO,EMIRATE,UAE_EMIRATE,PROVIDER_TYPE,PROVIDER_NAME,FACILITY_ID,AREA,ADDRESS,PHONE,GOOGLE_MAPS_LINK,WEBSITE,WHATSAPP,NOTES
342,AUH,Abu Dhabi,CLINIC,ADAM & EVE SPECIALIZED MEDICAL CENTRE L.L.C. - BRANCH,MF5163,NEAR SHEIKH KHALIFA MEDICAL CITY,"VILLA NO # 209, NEAR SHEIKH KHALIFA MEDICAL CITY, AL    KARAMAH STREET",02-621 9996,https://www.google.com/maps/search/?api=1&query=VILLA%20NO%20%23%20209%2C%20NEAR%20SHEIKH%20KHALIFA%20MEDICAL%20CITY%2C%20AL%20%20%20%20KARAMAH%20STREET%2C%20Ajman%2C%20UAE,,,
343,AUH,Abu Dhabi,CLINIC,DOCTOR ATIQUR RAHMAN POLYCLINIC LLC,MF3037,AL MARAFI STREET ,"SEED AL KHALIL BLD AL MARAFI,STREET ABUDHABI,UAE",02-6398331,https://www.google.com/maps/search/?api=1&query=SEED%20AL%20KHALIL%20BLD%20AL%20MARAFI%2CSTREET%20ABUDHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
344,AUH,Abu Dhabi,CLINIC,GROW AND GLOW MEDCLINIC- SOLE PROPRIERTORSHIP LLC,MF7522,NEW SHAHAMA,"BLD NO 26 NEW SHAHAMA,NEAR PETROL PUMP,UAE",02-6505388,https://www.google.com/maps/search/?api=1&query=BLD%20NO%2026%20NEW%20SHAHAMA%2CNEAR%20PETROL%20PUMP%2CUAE%2C%20Ajman%2C%20UAE,,,
345,AUH,Abu Dhabi,CLINIC,A B C PLUS MEDICAL CENTER,MF7401,WORKER CITY NO.1-MAFRAQ I,WORKER CITY NO.1-MAFRAQ INDUSTRIAL AREA-ABU DHABI UAE,02-6279479,https://www.google.com/maps/search/?api=1&query=WORKER%20CITY%20NO.1-MAFRAQ%20INDUSTRIAL%20AREA-ABU%20DHABI%20UAE%2C%20Ajman%2C%20UAE,,,
346,AUH,Abu Dhabi,CLINIC,BASEL MEDICAL CENTRE LLC,MF187,AL MAFRAQ WORKERS CITY 2,"AL MAFRAQ WORKERS CITY 2 - ABU DHABI,UAE",02-6316831,https://www.google.com/maps/search/?api=1&query=AL%20MAFRAQ%20WORKERS%20CITY%202%20-%20ABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
347,AUH,Abu Dhabi,CLINIC,HOME HEALTH MEDICAL CENTRE LLC,MF1798,SHABIYA 11,"C 31 BUILDING NUMBER ,FIRST FLOOR ,SHABIYA 11 ,ABU DHABI,UAE",02-5530162,https://www.google.com/maps/search/?api=1&query=C%2031%20BUILDING%20NUMBER%20%2CFIRST%20FLOOR%20%2CSHABIYA%2011%20%2CABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
348,AUH,Abu Dhabi,CLINIC,MARIAM MEDICAL CENTER LLC,MF335,BANIYAS," SHOP NO.2B PLOT NO F2C4_1MAGENTA PEARL VILLAGE, AL-MAFRAQ INDUSTRIAL-2 (CHINA CAMP),BANIYAS, ABU DHABI",02-6214626,https://www.google.com/maps/search/?api=1&query=SHOP%20NO.2B%20PLOT%20NO%20F2C4_1MAGENTA%20PEARL%20VILLAGE%2C%20AL-MAFRAQ%20INDUSTRIAL-2%20%28CHINA%20CAMP%29%2CBANIYAS%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
349,AUH,Abu Dhabi,CLINIC,HEALTH TIME MEDICAL CENTRE - SOLE PROPRIETORSHIP L.L.C,MF4907,BANIYAS," BLDG. 08, PLOT F2C4-8, AL-MAFRAQ INDUSTRIAL 2 BANIYAS, ABU DHABI, UNITED ARAB EMIRATES,",02-6425247,https://www.google.com/maps/search/?api=1&query=BLDG.%2008%2C%20PLOT%20F2C4-8%2C%20AL-MAFRAQ%20INDUSTRIAL%202%20BANIYAS%2C%20ABU%20DHABI%2C%20UNITED%20ARAB%20EMIRATES%2C%2C%20Ajman%2C%20UAE,,,
350,AUH,Abu Dhabi,CLINIC,APEX MEDICAL CENTRE L.L.C,MF7186,GHAYATHI NEW INDUSTRIAL AREA,"BIN ASHEER BUILDING, GHAYATHI NEW INDUSTRIAL AREA, WESTERN REGION GHAYATHI ABU DHABI, UAE",02-6500485,https://www.google.com/maps/search/?api=1&query=BIN%20ASHEER%20BUILDING%2C%20GHAYATHI%20NEW%20INDUSTRIAL%20AREA%2C%20WESTERN%20REGION%20GHAYATHI%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
351,AUH,Abu Dhabi,CLINIC,INDUS MEDICAL CENTRE LLC,MF4961,WORKERS VILLAGE 2 AL MAFRAQ,"WORKERS VILLAGE 2 AL MAFRAQ INDUSTRIAL AREA ABU DHABI, UAE  ",02-4467700,https://www.google.com/maps/search/?api=1&query=WORKERS%20VILLAGE%202%20AL%20MAFRAQ%20INDUSTRIAL%20AREA%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
352,AUH,Abu Dhabi,CLINIC,AL KAMAL MEDICAL POLY CLINICS-L.L.C- S.P.C (FORMERLY AL KAMAL MEDICAL POLYCLINICS-LLC),MF87,KHALIDIYA,"FIRST FLOOR,AL JERNAIN TOWER,ZAYED THE FIRST STREET,KHALIDIYA,ABU DHABI,UAE",02-6651464,https://www.google.com/maps/search/?api=1&query=FIRST%20FLOOR%2CAL%20JERNAIN%20TOWER%2CZAYED%20THE%20FIRST%20STREET%2CKHALIDIYA%2CABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
353,AUH,Abu Dhabi,CLINIC,EVER CARE MEDICAL CENTER,MF4242,SANIYAH ,"MUSAFFAH,SANIYAH 17,UAE",02-4457667,https://www.google.com/maps/search/?api=1&query=MUSAFFAH%2CSANIYAH%2017%2CUAE%2C%20Ajman%2C%20UAE,,,
354,AUH,Abu Dhabi,CLINIC,EMERALD MEDICAL CENTRE LLC,MF3918, ICAD,"STREET#16 M/37 NEAR ICAD,ABU DHABI,UAE",02-4441325,https://www.google.com/maps/search/?api=1&query=STREET%2316%20M/37%20NEAR%20ICAD%2CABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
355,AUH,Abu Dhabi,CLINIC,HOPE MEDICAL CENTER L.L.C,MF4598,BANIYAS,"BANIYAS, MAFRAQ INDUSTRIAL - PLOT 384, UNIT, OWNER/GENERAL CONSTRUCTION COMPANY, ABU DHABI",02-5551430,https://www.google.com/maps/search/?api=1&query=BANIYAS%2C%20MAFRAQ%20INDUSTRIAL%20-%20PLOT%20384%2C%20UNIT%2C%20OWNER/GENERAL%20CONSTRUCTION%20COMPANY%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
356,AUH,Abu Dhabi,CLINIC,MODERN CENTER,MF660,AL GABA STREET,"AL GABA STREET, NEAR MALABAR GOLD, ABOVE MAJEED PHARMACY ALAIN ABUDHABI,UAE",03-7664764,https://www.google.com/maps/search/?api=1&query=AL%20GABA%20STREET%2C%20NEAR%20MALABAR%20GOLD%2C%20ABOVE%20MAJEED%20PHARMACY%20ALAIN%20ABUDHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
357,AUH,Abu Dhabi,CLINIC,RAHMATH SILA CLINIC,MF4019,SILA,"1ST FLOOR, AL SILA PHARMACY BUILDING, SILA, ABU DHABI, UAE",02-8724999,https://www.google.com/maps/search/?api=1&query=1ST%20FLOOR%2C%20AL%20SILA%20PHARMACY%20BUILDING%2C%20SILA%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
358,AUH,Abu Dhabi,CLINIC,SPECIALIZED DENTAL AND ORTHODONTIC CENTER,MF1903, AL MUSHRIF,"131, M FLOOR, AL MUSHRIF, NEAR IMMIGRATION OFFICE ,ABU DHABI ,UAE",02-4439688,https://www.google.com/maps/search/?api=1&query=131%2C%20M%20FLOOR%2C%20AL%20MUSHRIF%2C%20NEAR%20IMMIGRATION%20OFFICE%20%2CABU%20DHABI%20%2CUAE%2C%20Ajman%2C%20UAE,,,
359,AUH,Abu Dhabi,CLINIC,PATTAYA MEDICAL CENTRE L.L.C,MF4438,MUSSAFAH SANAIYA,"BUILDING NUMBER 216 NEAR I.CARD, M-37, MUSSAFAH SANAIYA, ABU DHABI, UAE",02-5530233,https://www.google.com/maps/search/?api=1&query=BUILDING%20NUMBER%C2%A0216%C2%A0NEAR%20I.CARD%2C%20M-37%2C%20MUSSAFAH%20SANAIYA%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
360,AUH,Abu Dhabi,CLINIC,SAHARA MEDICAL CENTER L.L.C,MF3578,MUSAFFAH,"M44, MUSAFFAH, ABU DHABI",02-5556393,https://www.google.com/maps/search/?api=1&query=M44%2C%20MUSAFFAH%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
361,AUH,Abu Dhabi,CLINIC,LIFECARE CLINIC L.L.C. - BRANCH,MF7228,WORKER'S CITY ICAD,"TASAMEEM WORKER'S CITY ICAD ,MUSAFFAH ",02-5502543,https://www.google.com/maps/search/?api=1&query=TASAMEEM%20WORKER%27S%20CITY%20ICAD%20%2CMUSAFFAH%2C%20Ajman%2C%20UAE,,,
362,AUH,Abu Dhabi,CLINIC,LLH CLINIC L.L.C,MF5745,"ICAD , MUSAFFAH ","LULU STAFF CITY ICAD , MUSAFFAH ",02-4116180,https://www.google.com/maps/search/?api=1&query=LULU%20STAFF%20CITY%20ICAD%20%2C%20MUSAFFAH%2C%20Ajman%2C%20UAE,,,
363,AUH,Abu Dhabi,CLINIC,LLH CLINIC L.L.C. - BRANCH,MF7673,"GHIYATHI, AL DHAFRA","NEAR MEGA BAZAR GHIYATHI, AL DHAFRA",056-4010637,https://www.google.com/maps/search/?api=1&query=NEAR%20MEGA%20BAZAR%20GHIYATHI%2C%20AL%20DHAFRA%2C%20Ajman%2C%20UAE,,,
364,AUH,Abu Dhabi,CLINIC,HIRMAS REAL ESTATE LLC,MF4950,SAADIYAT ISLAND,"SAADIYAT ACCOMMODATION VILLAGE ,SAADIYAT ISLAND , ABU DHABI",02-2050812,https://www.google.com/maps/search/?api=1&query=SAADIYAT%20ACCOMMODATION%20VILLAGE%20%2CSAADIYAT%20ISLAND%20%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
365,AUH,Abu Dhabi,CLINIC,TIME CURE MEDICAL CENTER - SOLE PROPRIETORSHIP LLC,MF3217,MUSSAFAH 36,"PLOT 15, ABOVE ARAB COOK REST. MUSSAFAH 36, ABU DHABI,UAE",02-5508998,https://www.google.com/maps/search/?api=1&query=PLOT%2015%2C%20ABOVE%20ARAB%20COOK%20REST.%20MUSSAFAH%2036%2C%20ABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
366,AUH,Abu Dhabi,CLINIC,NMC ROYAL FAMILY MEDICAL CENTRE LTD(FORMERLY NMC ROYAL FAMILY MEDICAL CENTRE L.L.C.),MF3335,MOHAMMAD BIN ZAYED CITY,"PRESTIGE TOWER,NEAR CAPITAL MALL,MOHAMMED BIN ZAYED CITY,ABU DHABI",02-6911500,https://www.google.com/maps/search/?api=1&query=PRESTIGE%20TOWER%2CNEAR%20CAPITAL%20MALL%2CMOHAMMED%20BIN%20ZAYED%20CITY%2CABU%20DHABI%2C%20Ajman%2C%20UAE,,,
367,AUH,Abu Dhabi,CLINIC,N M C ROYAL MEDICAL CENTRE LTD(FORMERLY NMC ROYAL MEDICAL CENTRE L.L.C),MF4286,ELECTRA STREET,"5TH FLOOR, ELECTRA STREET , SAMA TOWER",02-5133111,https://www.google.com/maps/search/?api=1&query=5TH%20FLOOR%2C%20ELECTRA%20STREET%20%2C%20SAMA%20TOWER%2C%20Ajman%2C%20UAE,,,
368,AUH,Abu Dhabi,CLINIC,N M C ROYAL MEDICAL CENTRE LTD,MF5221,NEW SHAHAMAH,12 AL SADIRAT ST - AL SHAHAMAH - NEW SHAHAMAH - ABU DHABI,02-8859400,https://www.google.com/maps/search/?api=1&query=12%20AL%20SADIRAT%20ST%20-%20AL%20SHAHAMAH%20-%20NEW%20SHAHAMAH%20-%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
369,AUH,Abu Dhabi,CLINIC,NMC ROYAL MEDICAL CENTRE LTD,MF5303,AL KHALIDIYAH ,14 AL FARIS ST - AL KHALIDIYAH - W17-01 - ABU DHABI,02-6144900,https://www.google.com/maps/search/?api=1&query=14%20AL%20FARIS%20ST%20-%20AL%20KHALIDIYAH%20-%20W17-01%20-%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
370,AUH,Abu Dhabi,CLINIC,OXFORD MEDICAL CENTER L.L.C,MF1976, MUROOR AREA,"23RD - 25TH STREET, MUROOR AREA (BEHIND LULU EXPRESS - HADBAT AL ZA'FARANAH - ABU DHABI",02-4489666,https://www.google.com/maps/search/?api=1&query=23RD%20-%2025TH%20STREET%2C%20MUROOR%20AREA%20%28BEHIND%20LULU%20EXPRESS%20-%20HADBAT%20AL%20ZA%27FARANAH%20-%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
371,AUH,Abu Dhabi,CLINIC,MEDICAL SPECIALITY CENTRE L.L.C,MF339,KHALIDIYA ,"MEDICAL SPECIALITY CENTRE, KHALIDIYA - ZAYED THE FIRST ST - AL HISN - W4 - ABU DHABI",02-6336325,https://www.google.com/maps/search/?api=1&query=MEDICAL%20SPECIALITY%20CENTRE%2C%20KHALIDIYA%20-%20ZAYED%20THE%20FIRST%20ST%20-%20AL%20HISN%20-%20W4%20-%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
372,AUH,Abu Dhabi,CLINIC,MESK ALMADINA MEDICAL CENTRE LLC,MF4048,MUSAFFAH,"ICAD AREA M40, PLOT NO 96 – MUSAFFAH, P.O. BOX 94100, ABU DHABI, U.A.E",02-5504333,https://www.google.com/maps/search/?api=1&query=ICAD%20AREA%20M40%2C%20PLOT%20NO%2096%20%E2%80%93%20MUSAFFAH%2C%20P.O.%20BOX%2094100%2C%20ABU%20DHABI%2C%20U.A.E%2C%20Ajman%2C%20UAE,,,
373,AUH,Abu Dhabi,CLINIC,ALPHA MEDICAL CENTRE L.L.C,MF572,MUSAFFAH,"PLOT NO 1, AL FIRDOUS TOWER, M3, MUSAFFAH, ABU DHABI ",02-5558383,https://www.google.com/maps/search/?api=1&query=PLOT%20NO%201%2C%20AL%20FIRDOUS%20TOWER%2C%20M3%2C%20MUSAFFAH%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
374,AUH,Abu Dhabi,CLINIC,GOLDEN SANDS MEDICAL CENTRE L.L.C,MF605,AL FALAH STREET ,OLD PASSPORT ROAD - AL FALAH ST - ABU DHABI,02-6427171,https://www.google.com/maps/search/?api=1&query=OLD%20PASSPORT%20ROAD%20-%20AL%20FALAH%20ST%20-%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
375,AUH,Abu Dhabi,CLINIC,APOLLO MEDICAL CENTRE SOLE PROPRIETORSHIP LLC,MF1026,HAMDAN STREET,"M101, MURAIJEB TOWER, HAMDAN STREET, ABU DHABI, UAE",02-6397733,https://www.google.com/maps/search/?api=1&query=M101%2C%20MURAIJEB%20TOWER%2C%20HAMDAN%20STREET%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
376,AUH,Abu Dhabi,CLINIC,GOLDEN CURE MEDICAL CENTRE - SOLE PROPRIETORSHIP L.L.C,MF304,AL DHAFRA INDUSTRIAL AREA,"ZAYED CITY EAST 19, BEHIND AL MASAOOD NISSAN SERVICE CENTER, AL DHAFRA INDUSTRIAL AREA- WESTERN REGION- ABU DHABI",02-8784642,https://www.google.com/maps/search/?api=1&query=ZAYED%20CITY%20EAST%2019%2C%20BEHIND%20AL%20MASAOOD%20NISSAN%20SERVICE%20CENTER%2C%20AL%20DHAFRA%20INDUSTRIAL%20AREA-%20WESTERN%20REGION-%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
377,AUH,Abu Dhabi,CLINIC,HEALTH GO MEDICAL CENTER LLC,MF7029,AL MAFRAQ ,"AL MAFRAQ INDUSTRIAL AREA,AUH,UAE",02-5851331,https://www.google.com/maps/search/?api=1&query=AL%20MAFRAQ%20INDUSTRIAL%20AREA%2CAUH%2CUAE%2C%20Ajman%2C%20UAE,,,
378,AUH,Abu Dhabi,CLINIC,WAZIRUSTAN MEDICAL CENTRE - L.L.C - O.P.C,MF3043,AL DHAFRA REGION,"11, AL FASEEHAH ST, GHIYATHI, AL DHAFRA REGION 10868,AUH,UAE",02-8741400,https://www.google.com/maps/search/?api=1&query=11%2C%20AL%20FASEEHAH%20ST%2C%20GHIYATHI%2C%20AL%20DHAFRA%20REGION%2010868%2CAUH%2CUAE%2C%20Ajman%2C%20UAE,,,
379,AUH,Abu Dhabi,CLINIC,ANSARI MEDICAL CENTRE - L.L.C - O.P.C,MF168,AL KHALIDIYAH ,"AL-HOSN, WEST, 4 0:, BUILDING, AFRA MUHAMMAD SAIF ASSISTANT, AL KHALIDIYA, ABU DHABI,UAE",02-6394139,https://www.google.com/maps/search/?api=1&query=AL-HOSN%2C%20WEST%2C%204%200%3A%2C%20BUILDING%2C%20AFRA%20MUHAMMAD%20SAIF%20ASSISTANT%2C%20AL%20KHALIDIYA%2C%20ABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
380,AUH,Abu Dhabi,CLINIC,AL ITTIHAD MEDICAL CENTRE SOLE PROPRETIERSHIP LLC,MF287,HAMDAN STREET,303 THIRD FLOOR EMI TOWER NEXT TO MARKS & SPENCER HAMDAN STREET ABU DHABI,02-6226611,https://www.google.com/maps/search/?api=1&query=303%20THIRD%20FLOOR%20EMI%20TOWER%20NEXT%20TO%20MARKS%20%26%20SPENCER%20HAMDAN%20STREET%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
381,AUH,Abu Dhabi,CLINIC,ARCHITECT CLINIC LLC OPC,MF7849,ICAD - III,"AL DHAFRA WORKERS VILLAGE ICAD - III,IAUH,UAE",02-6721400,https://www.google.com/maps/search/?api=1&query=AL%20DHAFRA%20WORKERS%20VILLAGE%20ICAD%20-%20III%2CIAUH%2CUAE%2C%20Ajman%2C%20UAE,,,
382,AUH,Abu Dhabi,CLINIC,MAX CURE MEDICAL CARE CENTER-L.L.C,MF7218,DARWISH TOWER,"DARWISH TOWER, OFFICE #M06,ABU DHABI,UAE",050-2543146,https://www.google.com/maps/search/?api=1&query=DARWISH%20TOWER%2C%20OFFICE%20%23M06%2CABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
383,AUH,Abu Dhabi,CLINIC,MEDLUX MEDICAL CENTER L.L.C,MF3666,AL MAFRAQ INDUSTRIAL AREA,"AL MAFRAQ INDUSTRIAL AREA,ABU DHABI,UAE",02-6229722,https://www.google.com/maps/search/?api=1&query=AL%20MAFRAQ%20INDUSTRIAL%20AREA%2CABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
384,AUH,Abu Dhabi,CLINIC,MARJAN MEDICAL CENTER,MF5117,AL KHURAIR - AL NOUD ,AL KHURAIR - AL NOUD - ALAIN ABU DHABI,03-7530110,https://www.google.com/maps/search/?api=1&query=AL%20KHURAIR%20-%20AL%20NOUD%20-%20ALAIN%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
385,AUH,Abu Dhabi,CLINIC,ROYAL INTERNATIONAL MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C.,MF4357,AL MAFRAQ WORKERS VILLAGE,"AL MAFRAQ WORKERS VILLAGE NO. 1 ABU DHABI, UAE",02-8775522,https://www.google.com/maps/search/?api=1&query=AL%20MAFRAQ%20WORKERS%20VILLAGE%20NO.%201%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
386,AUH,Abu Dhabi,CLINIC,GULF INTERNATIONAL CANCER CENTER ,MF1992,AL BAHIA,"AL BAHIA, EXIT 39, SHEIK AL MAKTOOM ROAD, ABU DHABI, UAE",02-5630089,https://www.google.com/maps/search/?api=1&query=AL%20BAHIA%2C%20EXIT%2039%2C%20SHEIK%20AL%20MAKTOOM%20ROAD%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
387,AUH,Abu Dhabi,CLINIC,CENTRAL CLINIC L.L.C,MF198,HAMDAN BIN MOHAMMED,"EMI TOWER, LEVEL 2, NEXT TO MARKS & SPENCER - HAMDAN BIN MOHAMMED ST - ABU DHABI, UAE",02-6323497,https://www.google.com/maps/search/?api=1&query=EMI%20TOWER%2C%20LEVEL%202%2C%20NEXT%20TO%20MARKS%20%26%20SPENCER%20-%20HAMDAN%20BIN%20MOHAMMED%20ST%20-%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
388,AUH,Abu Dhabi,CLINIC,SHARMIN AKTER MEDICAL CENTER LLC,MF7348,WORKERS CITY 2,"G20, 21 PARCO MALL MAFRAQ WORKER CITY 2 ABU DHABI UAE",02-5828077,https://www.google.com/maps/search/?api=1&query=G20%2C%2021%20PARCO%20MALL%20MAFRAQ%20WORKER%20CITY%202%20ABU%20DHABI%20UAE%2C%20Ajman%2C%20UAE,,,
389,AUH,Abu Dhabi,CLINIC,DR SABAH AL SAKBAN MEDICAL CLINIC - L.L.C - S.P.C,MF670,SAEED BIN AHMED AL OTAIBA ST,"SAEED BIN AHMED AL OTAIBA ST - AL DANAH - ZONE 1 - ABU DHABI,UAE",02-6331003,https://www.google.com/maps/search/?api=1&query=SAEED%20BIN%20AHMED%20AL%20OTAIBA%20ST%20-%20AL%20DANAH%20-%20ZONE%201%20-%20ABU%20DHABI%2CUAE%2C%20Ajman%2C%20UAE,,,
390,AUH,Abu Dhabi,CLINIC,BASHIRA SPECIALIZED MEDICAL CLINIC - L.L.C - S.P.C,MF1242,SAEED BIN AHMED AL OTAIBA ST,"SAEED BIN AHMED AL OTAIBA ST - AL DANAH - ZONE 1 - ABU DHABI, UAE",02-6219995,https://www.google.com/maps/search/?api=1&query=SAEED%20BIN%20AHMED%20AL%20OTAIBA%20ST%20-%20AL%20DANAH%20-%20ZONE%201%20-%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
391,AUH,Abu Dhabi,CLINIC,LLH CLINIC L.L.C - BRANCH,MF7828,AL MAHHARAH STREET,"AL NASSER 1 WORKERS CITY ,AL MAHHARAH STREET, AL MAFRAQ WORKERS' RESIDENTIAL CITY , ABU DHABI",02-5841986,https://www.google.com/maps/search/?api=1&query=AL%20NASSER%201%20WORKERS%20CITY%20%2CAL%20MAHHARAH%20STREET%2C%20AL%20MAFRAQ%20WORKERS%27%20RESIDENTIAL%20CITY%20%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
392,AUH,Abu Dhabi,CLINIC,LIFECARE CLINIC LLC BRANCH,MF8037,AL MAFRAQ,"CONSTRUCTION WORKERS RESIDENTIAL CITY, AL MAFRAQ WORKERS CITY, ABU DHABI",02-5562240,https://www.google.com/maps/search/?api=1&query=CONSTRUCTION%20WORKERS%20RESIDENTIAL%20CITY%2C%20AL%20MAFRAQ%20WORKERS%20CITY%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
393,AUH,Abu Dhabi,CLINIC,MEDEOR MEDICAL CENTRE - L.L.C,MF1913,RASHID BIN SAEED ST,"717, SHK. RASHID BIN SAEED ST, AL NAHYAH, ZONE 1, ABU DHABI, UAE",02-6977666,https://www.google.com/maps/search/?api=1&query=717%2C%20SHK.%20RASHID%20BIN%20SAEED%20ST%2C%20AL%20NAHYAH%2C%20ZONE%201%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
394,AUH,Abu Dhabi,CLINIC,LLH OASIS MEDICAL CENTRE L.L.C,MF4530,MADINAT ZAYED," AL DHAFRA BUILDING B, NEAR STARBUCKS, MADINAT ZAYED, AL DHAFRA REGION,ABU DHABI",02- 8946666,https://www.google.com/maps/search/?api=1&query=AL%20DHAFRA%20BUILDING%20B%2C%20NEAR%20STARBUCKS%2C%20MADINAT%20ZAYED%2C%20AL%20DHAFRA%20REGION%2CABU%20DHABI%2C%20Ajman%2C%20UAE,,,
395,AUH,Abu Dhabi,CLINIC,AMERICAN CRESCENT HEALTH CARE CENTRE- SOLE PROPRIETRSHIP L.L.C,MF1046,KHALIDIYAH,"BIN HAYAI BLDG., BLOCK B, 02 MEZZANINE FLOOR, (OPPOSITE GRAND STORES), ZAYED 1ST  STREET, AL KHALIDIYA, ABU DHABI, UAE",02-6325000,https://www.google.com/maps/search/?api=1&query=BIN%20HAYAI%20BLDG.%2C%20BLOCK%20B%2C%2002%20MEZZANINE%20FLOOR%2C%20%28OPPOSITE%20GRAND%20STORES%29%2C%20ZAYED%201ST%20%20STREET%2C%20AL%20KHALIDIYA%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
396,AUH,Abu Dhabi,CLINIC,HEALTHSHADES MEDICAL CENTRE L.L.C,MF4652,MUSAFFAH M37,"MUSAFFAH M37, STREET 16, P190 ,PREMISES 15, 16, 17, ABU DHABI, UAE",02-5545999,https://www.google.com/maps/search/?api=1&query=MUSAFFAH%20M37%2C%20STREET%2016%2C%20P190%20%2CPREMISES%2015%2C%2016%2C%2017%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
397,AUH,Abu Dhabi,CLINIC,EXCELLENT MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C,MF4777,WORKER CITY 2,"AL NASSER PROPERTIES, RB 2, MAFRAQ WORKER, CITY 2, ABU DHABI – UAE",02-5544469,https://www.google.com/maps/search/?api=1&query=AL%20NASSER%20PROPERTIES%2C%20RB%202%2C%20MAFRAQ%20WORKER%2C%20CITY%202%2C%20ABU%20DHABI%20%E2%80%93%20UAE%2C%20Ajman%2C%20UAE,,,
398,AUH,Abu Dhabi,CLINIC,HOLISTIC MEDICAL CENTRE - SOLE PROPRIETORSHIP L.L.C.,MF4264,KHALIFA CITY,"VILLA # 141,12TH STREET, KHALIFA CITY A, OPPOSITE AL FORSON SHOOTING CLUB AND MARRIOTT HOTEL, ABU DHABI, UAE",02-6661567,https://www.google.com/maps/search/?api=1&query=VILLA%20%23%20141%2C12TH%20STREET%2C%20KHALIFA%20CITY%20A%2C%20OPPOSITE%20AL%20FORSON%20SHOOTING%20CLUB%20AND%20MARRIOTT%20HOTEL%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
399,AUH,Abu Dhabi,CLINIC,ABU AL BUKHOOSH CLINIC,MF7678,ADNOC OFFSHORE,"ADNOC OFFSHORE SITE CLINICS, ABU DHABI, UAE",02 6023882,https://www.google.com/maps/search/?api=1&query=ADNOC%20OFFSHORE%20SITE%20CLINICS%2C%20ABU%20DHABI%2C%20UAE%2C%20Ajman%2C%20UAE,,,
400,AUH,Abu Dhabi,CLINIC,ADC TARIF CENTRAL CAMP CLINIC,MF7154,ADC TARIF CENTRAL CAMP,"ADC TARIF CENTRAL CAMP, AL DHAFRA, ABU DHABI",02 6023882,https://www.google.com/maps/search/?api=1&query=ADC%20TARIF%20CENTRAL%20CAMP%2C%20AL%20DHAFRA%2C%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
401,AUH,Abu Dhabi,CLINIC,ADNOC OFFSHORE HQ CLINIC,MF7754,HAMDAN ST,"ZONE 1E2, WORLD TRADE CENTER, HAMDAN ST. ABU DHABI",02 6023882,https://www.google.com/maps/search/?api=1&query=ZONE%201E2%2C%20WORLD%20TRADE%20CENTER%2C%20HAMDAN%20ST.%20ABU%20DHABI%2C%20Ajman%2C%20UAE,,,
