Index,P,PROVIDER TYPE,PROVIDER NAME,AREA,ADDRESS,TELEPHONE,lat,lon,formatted,confidence,attribution
437,FUJ,CLINIC,SUHA MEDICAL CENTER,AL BIDYA,"SALEH MOFLEH ALI ASYOUD SHEHHI (BLDG), RUGAYLAT ROAD, AL BIDYA, FUJAIRAH, UAE.",09-22 33360,25.581972,56.131927,"washed away service road, FU, United Arab Emirates",0.2,© OpenStreetMap contributors
438,FUJ,CLINIC,MAKKAH MEDICAL CENTER FUJAIRAH,BEHIND ADNOC PETROL DTATION,1ST FLOOR FLAT 104 OPP MASJID AL KHATAB & EID MUSALLA BEHIND ADNOC PETROL DTATION & FORTUNE RESIDENCE 09-2225051,09-2225501,,,,,
439,FUJ,CLINIC,MAKKAH MEDICAL CENTER BRANCH 1(FORMERLY MAKKAH MEDICAL CLINIC (AL HAYL),"AL HAYL,","OPPOSITE TO MARS TRADING CENTER BLOCK Q ,FUJAIRAH",09-2225501,25.31894035,55.3803546939348,"Sahil Trading Center, Al Khan Street, Al Majaz, Sharjah, SH, United Arab Emirates",0,© OpenStreetMap contributors
440,FUJ,CLINIC,DIBBA MEDICAL CENTRE - FUJ,AL MUHALLAB DIBBA,"OPPOSITE AL SHARQ HOSPITAL,AL MUHALLAB DIBBA POB 13002, FUJAIRAH, UAE",09-2447447,25.5509187,56.0708895,"ADNOC, 472 Al Shohadaa Road, Saram, FU, United Arab Emirates",0.225,© OpenStreetMap contributors
441,FUJ,CLINIC,MERASHID MEDICAL CENTER,HAMAD BIN ABDULLAH ROAD,HAMAD BIN ABDULLAH ROAD - OPPOSITE CHOITHRAM SUPERMARKET,09-2220883,,,,,
442,FUJ,CLINIC,FATHIMA MEDICAL CENTER,"SHAIKH ZAYED BIN SULTAN ROAD,","FLAT NO: 103, OLD ARAB BANK BUILDING, OPP. FATHIMA SUPERMARKET,SHAIKH ZAYED BIN SULTAN ROAD, FUJAIRAH",09-2239946,25.1244604,56.3355085,"Fujairah City, Fujairah Emirate, United Arab Emirates",0.0133333333333333,© OpenStreetMap contributors
443,FUJ,CLINIC,EMIRATES MEDICAL CENTRE,SHEIKH ZYED BIN SULTAN ROAD,48GV+GCX SHEIKH ZYED BIN SULTAN ROAD OPP AL ROSTAMANI EXCHANGE NASER ALI KHAMMAS BUILDING FLAT 106,09-2233199,,,,,
444,FUJ,CLINIC,AL AHLI MEDICAL CENTRE LLC,HAMAD BIN ABDULLAH ROAD,"1ST FLOOR, HSBC BANK MIDDLE EAST LIMITED BUILDING - HAMAD BIN ABDULLA RD - FUJAIRAH",09-2220228,25.1225407273634,56.3026815908497,"Sheikh Hamad Bin Abdullah Al Sharqi Road, Haleefath, Fujairah City, Fujairah Emirate, United Arab Emirates",0.12658629375,© OpenStreetMap contributors
445,FUJ,CLINIC,EVE MEDICAL CENTRE LLC,AL FASEEL STREET,"OPPOSITE MOHAMMED BIN HAMAD AL SHARQI SCHOOL , AL FASEEL ROAD, FUJAIRAH, UAE",09-2287982,25.1213823,56.3360363371972,"Central Bank of the UAE, Sheikh Hamad Bin Abdullah Al Sharqi Road, Town Center, Fujairah City, FU, United Arab Emirates",0.015625,© OpenStreetMap contributors
446,FUJ,CLINIC,ASTER MEDICAL CENTRE (FUJ),HAMDAN BIN ABDULLA STREET,"OPP: CHOITHRAM SUPER MARCKET, HAMDAN BIN ABDULLA STREET, FUJAIRAH, UAE",09-2234912,25.151326,55.241646,"Quoz, Latifa Bin Hamdan Street 1, Al Quoz Industrial Area 1, Dubai, United Arab Emirates",0.0937285714285714,© OpenStreetMap contributors
447,FUJ,CLINIC,FUJAIRAH PORT MEDICAL CENTER,FUJAIRAH PORT,INSIDE PORT OF FUAIRAH,09 2228007,,,,,
448,FUJ,CLINIC,AL SHARQ MEDICAL CENTER ETIHAD,AL ETIHAD FUJAIRAH,AL ETIHAD FUJAIRAH,09 2222444,25.124892,56.328537,"Fujairah, FU, United Arab Emirates",0.5,Who's On First
449,FUJ,CLINIC,AL SHARQ MEDICAL CENTER DIBBA,DIBBA FUJAIRAH,SHEIKH ZAYED BIN SULTAN AL NAHYAN ROAD AL NAHDAH DIBBA FUJAIRAH,09 2444711,25.61955,56.27291,"Dibba Al-Hisn, SH, United Arab Emirates",0,Who's On First
450,FUJ,CLINIC,AL SHARQ MEDICAL CENTER COSMOMED,AL ETIHAD FUJAIRAH,AL ETIHAD FUJAIRAH,09 2222444,25.124892,56.328537,"Fujairah, FU, United Arab Emirates",0.5,Who's On First
451,FUJ,CLINIC,KHORFAKHAN PORT CLINIC,KHORFAKKAN FUJAIRAH,KHORFAKKAN FUJAIRAH,09 2222444,25.2756046321394,56.1826105061473,"Khorfakkan Road, Daftah, Fujairah Emirate, United Arab Emirates",0,© OpenStreetMap contributors
452,FUJ,CLINIC,NORTHERN AL AHLIAH MEDICAL CENTRE (Fujairah),AL GURFA,"FATHIMA ROUND ABOUT, E89 (HAMAD BIN ABDULLAH ROAD), NEAR ADNOC PETROL STATION AND FAB BANK, AL GURFA",09-2242515,,,,,
453,FUJ,CLINIC,SUHA MEDICAL CENTER LLC FUJAIRAH BRANCH 1,AL HAYL,"OPP.POWER PLUS CABLE CO.LLC,MOHAMMED BIN ZAYED CITY-AL HAYL, FUJAIRAH",09-2282466,24.34794,54.55368,"Mohammed Bin Zayed City, AZ, United Arab Emirates",0.307692307692308,GeoNames
454,RAK,CLINIC,SHIFA AL JAZEERAH MEDICAL CENTRE L.L.C RAK,"AL RAMS ROAD, AL SEER","M FLOOR, FATHIMA HYPERMARKET BUILDING, AL RAMS ROAD, AL SEER - RAS AL KHAIMAH",07-221 1126,25.7737705,55.938232,"Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates",0.0401706010712161,© OpenStreetMap contributors
455,RAK,CLINIC,NMC ROYAL MEDICAL CENTER-RAK,CORNICHE,"SULTAN FADEL BUILDING,AL QWASIM CORNICHE",07 2028000,25.187836,55.284686,"Al Wajeha Al Maeyah, Bussiness Bay, Dubai, DU, United Arab Emirates",0,© OpenStreetMap contributors
456,RAK,CLINIC,NEXUS MEDICAL CLINIC,JAZEERA AL HAMRA,"SHOP NO: 13, 14, 15, AL JAZEERA BUILDING, BESIDE MADINA SUPER MARKET, OPPOSTIE MABANI STEEL COMPANY, JAZEERA AL HAMRA",07-2332134,25.270691,55.374214,"Shop-n-Save, 14 Al Nahda Street, Al Quasis 1, Dubai, DU, United Arab Emirates",0.125,© OpenStreetMap contributors
457,RAK,CLINIC,UNION MEDICAL AND DENTAL CENTRE,AL NAKHEEL,"P.O BOX 5628, OLD COMMERCIAL BANK OF DUBAI BUILDING AL NAKHEEL, RAK, UAE",07-2272402,25.2550734,55.3314251215334,"Commercial Bank of Dubai, 26b Street, Port Saeed, Dubai, Deira, United Arab Emirates",0.139669421487603,© OpenStreetMap contributors
458,RAK,CLINIC,AL HUDAIBAH MEDICAL CENTER LLC,AL NAKHEEL,AL NAKHEEL-RAS AL KHAIMAH,07-2222188,25.3577507,55.3900608,"Al Nakheel Pharmacy, Al Rolla Street, Al Gharb, Sharjah, Al Ghuwair, United Arab Emirates",0.5,© OpenStreetMap contributors
459,RAK,CLINIC,RETAJ MEDICAL CENTRE LLC,AL DHAIT,"UNITED INSURANCE COMPANY BUILDING F1, NEAR KFC,SK. MHD. BEN SALEM RD, AL DHAIT, RAK - UAE",07-2277776,,,,,
460,RAK,CLINIC,SPECIALIST MEDICAL CENTRE,DAHAN STREET,"MOHD BIN SALEM ROAD ,DAHAN STREET,RAS AL KHAIMAH ,UAE",07-2332255,25.78953,55.9432,"Ras Al Khaimah City, RK, United Arab Emirates",0.45,GeoNames
461,RAK,CLINIC,AL JAZEERA MEDICAL CENTRE,AL HAMRA,"MAIN ROAD AL JAZEERA,AL HAMRA,RAS AL KHAIMAH,UAE",07-244 6899,25.718253,56.074986,"Al Yafnah Road, RK, United Arab Emirates",0,© OpenStreetMap contributors
462,RAK,CLINIC,EVE MEDICAL CENTRE LLC,OLD CLOCK ROUND ABOUT,VILLA NO 12 KHUZAM ROAD NEAR OLD CLOCK ROUND ABOUT LANDMARK: NEXT TO – RAS AL KHAIMAH,07-2352812,25.7737705,55.938232,"Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates",0.25,© OpenStreetMap contributors
463,RAK,CLINIC,ASTER MEDICAL CENTRE (RAK),MOH,"MALABAR GOLD BUILDING, OPPST. UNITED ARAB BANK, RAS AL KAHIMAH, UAE",07-2338866,,,,,
464,RAK,CLINIC,ALYA MEDICAL CENTRE L.L.C,AL QASMI STREET,"ADIL AL NUAIMI BUILDING, M FLOOR, M-02, SHEIKH SAQR BIN MUHAMMAD AL QASMI STREET, AL QUSAIDAT, NEAR TO LAMP ROUND ABOUT, RASL AL KHAIMAH, U.A.E",07-2441235,,,,,
465,RAK,CLINIC,AL SHIFA GENERAL MEDICAL CLINIC-RAK,AL GHAIL,"AL GHAIL ROAD,RAS AL KHAIMAH",055-8384141,25.750292,55.966596,"Ras al-Khaimah, RK, United Arab Emirates",0.5,Who's On First
466,RAK,CLINIC,AL GHAIL MEDICAL CENTRE LLC(AL- SHAMS GROUP),AL GHAIL,"PO. BOX 12884, AL GHAIL SHOPPING CENTRE (MOHD. SHAAMS RASHID AL MAZROOI BLDG) AL GHAIL, RAS AL KHAIMAH",07-2585464,25.4003246,56.0593739,"Al Ghail, Ras al-Khaimah, United Arab Emirates",0.25,© OpenStreetMap contributors
467,RAK,CLINIC,AL AHLIA MEDICAL CENTRE,AL JAZAH ROAD,"CREEK PLAZA BLDG., NEAR RAK GAS AND OPP. EXPO CENTRE, AL JAZAH ROAD",07-2331533,24.9643072,55.1465577,"Expo exhibition Center, 2020 Boulevard, Expo 2020 District, Expo 2020 Dubai, DU, United Arab Emirates",0.0185142857142857,© OpenStreetMap contributors
468,RAK,CLINIC,THE AMERICAN MEDICAL CENTER LLC,MINA AL ARAB RD,"MINA AL ARAB RD- LAGOON WALK - BUILDING NO. 6 - GF,RAK,UAE",07-2665652,,,,,
469,RAK,CLINIC,RAS AL KHAIMAH MEDICAL CENTERE GHALILLA LLC ONE PERSON,GHALILLA,"SHAM,GHALILLA,RAK UAE",07-2279994,26.0279,56.08352,"Ash Sha`m, RK, United Arab Emirates",0.222222222222222,Who's On First
470,RAK,CLINIC,RAS AL KHAIMAH MEDICAL CENTERE AL JAZEERA,"AL JAZEERA AL HAMRA,","BEHIND RAK CERAMICS AL JAZEERA AL HAMRA,RAK,UAE",07-2432226,,,,,
471,RAK,CLINIC,RAS AL KHAIMAH MEDICAL CENTER AL HAMRA,AL HAMRA,"FIRST FLOOR,AL HAMRA MALL,AL HAMRA,RAK,UAE",07-2278308,25.35628,55.38912,"Al Hamra, Al Ghuwair, Sharjah, United Arab Emirates",0.521052631578947,GeoNames
472,RAK,CLINIC,MEDPLUS MEDICAL CENTER LLC,"AL JAZAH STREET, AL NAKHEEL","AL JAZAH STREET, AL NAKHEEL, NEAR DOUBLETREE HILTON HOTEL, RAK,UAE",07-2369006,25.294637,55.871352,"Al A'araf bin Al A'alam Street, UQ, United Arab Emirates",0.0944784,© OpenStreetMap contributors
473,RAK,CLINIC,MEDCITY MEDICAL CENTER LLC,"KHUZAM,RAK","3 STREET, KHUZAM,RAK,UAE",07-2364555,25.05508895,55.2197982815898,"3 3 Street, Jumeirah Village Circle, Dubai, DU, United Arab Emirates",0.275,© OpenStreetMap contributors
474,RAK,CLINIC,MARHABA MEDICAL CENTER,AL NAKHEEL,"GF-01-02, AL NAKHEEL BUILDING NEAR AL HOOT SUPERMARKET, AL NAKHEEL RAS AL KHAIMAH",07-2364667,25.7737705,55.938232,"Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates",0.25,© OpenStreetMap contributors
475,SHJ,CLINIC,SHIFA AL JAZEERA MEDICAL CENTRE (SHJ),SHARJAH,93 - S105 - SHARJAH,06-5218889,,,,,
476,SHJ,CLINIC,SHIFA AL RABEE MEDICAL CENTRE,MUWAILEH,"SHIFA AL RABEE MEDICAL CENTRE BUILDING,2609,GROUND FLOOR,MUWAILEH COMMERCIAL,INDUSTRIAL AREA,BUS STATION ROAD, MUWAILEH INDUSTRIAL AREA",06-5959123,25.1438441,55.24498,"Staff Bus Station, 318, Al Quoz Community, Dubai, DU, United Arab Emirates",0.0822705688476563,© OpenStreetMap contributors
477,SHJ,CLINIC,SAIFZONE MEDICAL CENTRE,AIRPORT FREE ZONE,"AIRPORT FREE ZONE F2 42A,F2-42B,SHARJAH",06-5578471,25.3461498,55.4210633,"Sharjah, Sharjah Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
478,SHJ,CLINIC,AL AZHAR MEDICAL CLINIC (SHARJAH),SAJJA,SAJJA,06-5352323/8007400,25.3147544122726,55.6390126337246,"Sajja Industrial Street, Al Saja'a Industrial, Sharjah, Sharjah Emirate, United Arab Emirates",1,© OpenStreetMap contributors
479,SHJ,CLINIC,RETAJ MEDICAL CENTER LLC,SHARJAH,"SALEM BIN SALEH AL HAMADI BUILDING, 1ST FLOOR OFFICE NO.101 , ALMAMZAR-ATTAAUN ST. SHARJAH, UAE",056-4031533,25.302103,55.548564,"Sharjah, SH, United Arab Emirates",0.25,Who's On First
480,SHJ,CLINIC,PREMIER MEDICAL CENTRE LLC,ROLLA,"MEZZANINE FLOOR, EMIRATES POST OFFICE BUILDING, AL GHUWAIR, ROLLA, SHARJAH, UAE",06 5616188,25.3568123,55.3887764,"Hadeqat Al Rola Pharmacy, Al Ghuwair Street, Al Gharb, Sharjah, Um Tarafa, United Arab Emirates",0.14198697752573,© OpenStreetMap contributors
481,SHJ,CLINIC,MARINA MEDICAL CENTER LLC,KING SALMAN BIN ABDUL AZIZ STREET,"MEZZANINE FLOOR, AL AROUBA STREET, OPP TO SWISS BEL HOTEL, ABOVE DOCTORS PHARMACY, SHARJAH, UAE",06 5625234,25.285324,55.882636,"Abi Al Adarham Al Zamani Street, Dhaid, SH, United Arab Emirates",0.15,© OpenStreetMap contributors
482,SHJ,CLINIC,AL WAHDA MEDICAL CENTRE,AL WAHDA,SHARJAH - AL WAHDA AREA,06-5455501,25.3383429,55.4020166,"Al Wahda Street, Industrial Area 4, Al Wahda Street, Industrial Area, Sharjah, Sharjah Emirate, United Arab Emirates",0.729,© OpenStreetMap contributors
483,SHJ,CLINIC,PERFECT MEDICAL CENTRE,ROLLA,SHARJAH - ROLLA,06-5455501,25.3580866,55.3872070470479,"Rolla, Al Gharb, Sharjah, Sharjah Emirate, United Arab Emirates",1,© OpenStreetMap contributors
484,SHJ,CLINIC,"NEW MEDICAL CENTRE, SHARJAH-AL BUHAIRA CORNICHE ,BEL RESHEED TOWER ,SHARJAH",BUHAIRAH CORNICHE,"BEL RESHEEED TOWER, CORNICHE, 1ST AND 2ND FLOOR ,AL BUHAIRA CORNICHE ,BEL RESHEED TOWER ,SHARJAH",06-5758000,25.3004133,55.3811941606138,"Al Buhaira Towers, Al Nahda Street, Al Nahda, Sharjah, Sharjah Emirate, United Arab Emirates",0.405,© OpenStreetMap contributors
485,SHJ,CLINIC,NMC MEDICAL CENTER L.L.C SHJ BR.1-SHARJAH,SHAHB,"ABOVE DANA PLAZA SHAHBA ,SHARJAH",06-5388966,24.4729235,54.34651195,"Al Dana Plaza, Al Qafiyah Street, Al Khalidiyah, Abu Dhabi, AZ, United Arab Emirates",0,© OpenStreetMap contributors
486,SHJ,CLINIC,NMC MEDICAL CENTER L.L.C SHJ BR.2-ROLLA SHARJAH,ROLLA,"2ND FLOOR, EISA BUILDING-2, OPP. ROLLA SQUARE PARK, NEAR ROLLA BUS STATION, ROLLA",06-5639966,25.35678,55.39038,"Al Rolla Square, Al Ghuwair, Sharjah, United Arab Emirates",0.0662105460686808,GeoNames
487,SHJ,CLINIC,"NMC MEDICAL CENTER L.L.C SHJ BR.4-AL NAHDA ,SHARJAH",AL NAHDA,"FIRST FLOOR, AL SHAIBA BUILDING ,NEAR AL NAHDA PARK ,AL NAHDA ,SHARJAH",06-5305252,25.30044,55.380881,"Al Buhaira Towers, Al Nahda Street, Al Nahda, Sharjah, SH, United Arab Emirates",0.333333333333333,© OpenStreetMap contributors
488,SHJ,CLINIC,"NMC MEDICAL CENTER L.L.C SHJ BR.-AL MAJAZ ,SHARJAH",AL MAJAZ,"FIRST FLOOR ,NEAR BUHAIRAH POLICE STATION ,AL MAJAZ ,SHARJAH",06-5566689,25.3162667,55.3808957,"Al Majaz 2, Al Khan Street, Al Majaz, Sharjah, SH, United Arab Emirates",0.435,© OpenStreetMap contributors
489,SHJ,CLINIC,"NMC DENTAL CENTRE L L C - BUHAIRA CORNICHE,SHARJAH",BUHAIRAH CORNICHE,"3RD FLOOR,AL BUHAIRAH BUILDING,BUHAIRA CORNICHE,SHARJAH",06-5738300,25.309723,55.352809,"Corniche Road Al Mamzar Sharjah, Al Khan, Sharjah, SH, United Arab Emirates",0.32805,© OpenStreetMap contributors
490,SHJ,CLINIC,"NMC MEDICAL CENTER L.L.C SHJ BR.3-ROLLA BUS STATION, ROLLA",ROLLA,"1ST FLOOR, EISA BUILDING-2, OPP. ROLLA SQUARE PARK, NEAR ROLLA BUS STATION, ROLLA",06-5182444,25.35678,55.39038,"Al Rolla Square, Al Ghuwair, Sharjah, United Arab Emirates",0.0662105460686808,GeoNames
491,SHJ,CLINIC,NMC ROYAL MEDICAL CENTRE LLC-SHAHBA SHARJAH,AL AROUBA STREET,"OPPOSITE AL QASMIA HOSPITAL, WASIT STREET , SHAHBA,SHARJAH UAE",06-5061666,25.3467837,55.433877515394,"Wasit Center, Wasit Street, Mughaidir, Sharjah, Al Khazamiya, United Arab Emirates",0.530357142857143,© OpenStreetMap contributors
492,SHJ,CLINIC,"SUNNY MAYSLOON SPECIALITY MEDICAL CENTRE LLC-KUWAIT STRT, SHARJAH",KUWAIT STRT,"NEAR LULU HYPERMARKET, MAY SALOON,KUWAIT STRT, SHARJAH",06-5014777,25.312598,55.507538,"Street 30, Al Juraina, Sharjah, SH, United Arab Emirates",0,© OpenStreetMap contributors
493,SHJ,CLINIC,NMC MEDICAL CENTRE FZC-SHARJAH SAIFZONE,SAIF ZONE,"SAIFZONE,SHARJAH",06-5455966,25.3306848,55.498451,"SaifZone Office, Al Dhaid Road, Sharjah International Airport, Sharjah, SH, United Arab Emirates",0,© OpenStreetMap contributors
494,SHJ,CLINIC,NASMAT AL SHIFA MEDICAL CENTRE,IND. AREA 10,"THIRD INDUSTRIAL ST, OPP. TABLIGHI MASJID، BETWEEN GATE NO 1 & 2, INDUSTRIAL AREA 10 - SHARJAH",06-5562235,,,,,
495,SHJ,CLINIC,WECARE CLINIC LLC,INDUSTRIAL AREA 10,"SHOP NO 2, KHANSAHIB BUILDING , INDUSTRIAL AREA 10, SHARJAH",06-5779977,25.30527495,55.3747920966709,"SEWA Substation No. 2, Gernata Street, Al Nahda, Sharjah, SH, United Arab Emirates",0.0345368916797488,© OpenStreetMap contributors
496,SHJ,CLINIC,AL DUNIA MEDICAL CENTER LLC(LIBERTY),IND AREA-12,"INDUSTRIAL AREA 12,SHARJAH,UAE",06-5546644,25.3178618,55.4336670582011,"Sharjah Industrial Area 12, Industrial Area, Sharjah, Sharjah Emirate, United Arab Emirates",0.8,© OpenStreetMap contributors
497,SHJ,CLINIC,AL NAHDA MEDICAL CENTER(LIBERTY),AL NAHDA,"AL NAHDA,SHARJAH,UAE",06-5384466,25.3669424,55.3944556,"Al nahda, Al Sharq Street, Al Sharq, Sharjah, Al Majarrah, United Arab Emirates",0.5,© OpenStreetMap contributors
498,SHJ,CLINIC,AL RABEE CLINIC MEDICAL CENTER,IND AREA-2,"INDUSTRIAL AREA 2,SHARJAH,UAE",06-5391222,25.31210085,55.4010201111083,"Sharjah Industrial Area 2, Industrial Area, Sharjah, Sharjah Emirate, United Arab Emirates",0.8,© OpenStreetMap contributors
499,SHJ,CLINIC,LIBERTY MEDICAL CENTRE(LIBERTY),ABU SHAGARA,"ABUSHAGARA,SHARJAH,UAE",06-5599379,,,,,
500,SHJ,CLINIC,AL AFYA MEDICAL CENTRE,ROLLA,"OPP:ROLLA SQUARE PARK,RUBY CARGO BLDG,FLAT 101",06 5626060,25.079395,56.359085,"Kalba Square, FU, United Arab Emirates",0.134349173553719,© OpenStreetMap contributors
501,SHJ,CLINIC,AL DALLAH MEDICAL CENTRE LLC,ROLLA,"103, SOUQ AL ROLLA BUILDING,OPP KM TRADING, UM AL TARAFA,ROLLA",06-5614266,25.3580866,55.3872070470479,"Rolla, Al Gharb, Sharjah, Sharjah Emirate, United Arab Emirates",0.092155612244898,© OpenStreetMap contributors
502,SHJ,CLINIC,BAB AL SAJJAH MEDICAL CENTER,AL SAJJA,"SHOP # 4&5MALIK HAMMAD SULTAN BUILDING,NEAR NOOR AL SAJJAH SUPER MARKET",06-5598211,25.2629364,55.2997509,"Al Adil Super Market, Al Fahidi Street, Al Souk Al Kabeer, Dubai, Bur Dubai, United Arab Emirates",0,© OpenStreetMap contributors
503,SHJ,CLINIC,BRISTOL MEDICAL CENTRE,AL NAHDA,"GROUND FLOOR, JUMA AL MAJID RESIDENTIAL COMPLEX, SHARJAH - UAE PO BOX 95570",06-5266615,25.3042991,55.3669577011674,"Al Majid Mosque, City Gate walk bridge, Al Mamzar, Sharjah, Al Taawun, United Arab Emirates",0.0708609402896251,© OpenStreetMap contributors
504,SHJ,CLINIC,DEEPA CLINIC,ROLLA,"ALI GARGASH BUILDING,BEHIND KFC PIZZA HUT,1ST FLOOR FLAT 102,ROLLA TREET SHARJAH",06 5686614,,,,,
505,SHJ,CLINIC,MAMPILLY MEDICAL CENTRE,ROLLA,ABV. UAE EXCHANGE BLDG. ROLLA ST.,06-5616464,,,,,
506,SHJ,CLINIC,MEDICARE MEDICAL CENTER,ROLLA,"OLD UAE EXCHANGE BLDG., ROLLA",06-5626922,24.216427,55.753018,"Old Fort, Al Jahili, Al Ain, United Arab Emirates",0,© OpenStreetMap contributors
507,SHJ,CLINIC,MEGA MEDICAL CENTER-SHARJAH,AL WAHDA,"NEAR 2D SUBWAY, AL WAHDA STREET,SHARJAH",06-5396200,25.302103,55.548564,"Sharjah, SH, United Arab Emirates",0.0496031746031746,Who's On First
508,SHJ,CLINIC,MGM MEDICAL CENTRE LLC,KING FAIZAL STREET,"ROOM 205 AL FAISAL BUILDING 1, ABOVE SUZUKI SHOWROOM, KING FAIZAL STREET, SHARJAH, UAE",06-5741444,,,,,
509,SHJ,CLINIC,PESHAWAR MEDICAL CLINIC LLC,ROLLA,"AL AROUBA TREE,AL ROLLA SHARJAH",06 5633755,25.302103,55.548564,"Sharjah, SH, United Arab Emirates",0.06,Who's On First
510,SHJ,CLINIC,REGAL MEDICAL CENTRE,NATIONAL PAINTS,"SHOP NO. 5, BELRESHEED BUILDING BLDG. NO.2516, MALEHA ST, NEAR NATIONAL PAINTS, MUWAILAH, SHARJAH, UAE",055-1409352,25.176083,55.2212224,"Machu Picchu, SHOP NR 6 Jumeira Street, Jumeirah, Dubai, Jumeirah 3, United Arab Emirates",0.0306122448979592,© OpenStreetMap contributors
511,SHJ,CLINIC,SIYAD SPECIALIST MEDICAL CENTRE,MUWEILAH,"SHOP NO. 1, AL WADI BLDG,MALIHA ROAD,MUWEILAH, SHARJAH",06-5358305,25.302103,55.548564,"Sharjah, SH, United Arab Emirates",0.0317460317460318,Who's On First
512,SHJ,CLINIC,AL BURJ AL THAHBI MEDICAL CENTER,IND AREA 3,SHARJAH INDUSTRIAL AREA NO.3,06-5275553,25.3253984,55.411874309178,"Sharjah Industrial Area, Industrial Area, Sharjah, Sharjah Emirate, United Arab Emirates",0.81,© OpenStreetMap contributors
513,SHJ,CLINIC,DAR AL SALAM MEDICAL CENTER,IND AREA 3,"UNIT 14, AL MUBARAK HYPERMARKET BUILDING, SHARJAH INDUSTRIAL AREA 3",06-5213535,25.3412738,55.3862061,"Al Mubarak Stationary, Al Jabarti Street, Al Majaz, Sharjah, SH, United Arab Emirates",0.09,© OpenStreetMap contributors
514,SHJ,CLINIC,LIMAR MEDICAL CENTRE,CORNICHE,"3RD FLOOR,AL SHAMSI BLDG,AL BUHAIRA CORNICHE SHARJAH, BESIDE KFC, PO BOX:23541",06-5744245,25.309723,55.352809,"Corniche Road Al Mamzar Sharjah, Al Khan, Sharjah, SH, United Arab Emirates",0,© OpenStreetMap contributors
515,SHJ,CLINIC,AL AFDAL MEDICAL CENTER,AL MAHATTA,"SHOP NO3, AL TAWOOS BUILDING, KING ABDUL AZIZ ROAD, OPPOSITE EMIRATES NBD, AL MAHATTA, SHARJAH",06-5590007,25.31763,55.44057,"Sharjah, United Arab Emirates",0.125,GeoNames
516,SHJ,CLINIC,AL BARAKAH CLINIC,IND AREA-5,INDUSTRIAL AREA 5,06-5431763,25.327166,55.413406,"Industrial Area 5, Sharjah, SH, United Arab Emirates",1,Who's On First
517,SHJ,CLINIC,AL MEHAR MEDICAL CENTRE LLC(MODERN FAMILY CLINIC),KING FAIZAL STREET,MODERN BUILDING KING FAISEL ROAD SHARJAH,06-5420066,25.302103,55.548564,"Sharjah, SH, United Arab Emirates",0.25,Who's On First
518,SHJ,CLINIC,AL BUSTAN MEDICAL CENTRE DHAID,AL DHAID,"1ST FLOOR, ALI BUILDING, OFFICE #102 FALAJ ROAD, AL DHAID, SHARJAH",06-8829924,25.31763,55.44057,"Sharjah, United Arab Emirates",0.125,GeoNames
519,SHJ,CLINIC,STARCARE MEDICAL CENTER L.L.C,ROLLA,"MALABAR PLAZA,  AL GHUWAIR, 8TH STREET, OPP. ROLLA PARK, ROLLA",06- 5611099,25.3580866,55.3872070470479,"Rolla, Al Gharb, Sharjah, Sharjah Emirate, United Arab Emirates",0,© OpenStreetMap contributors
520,SHJ,CLINIC,NOOR AL MADINA MEDICAL CENTER,IND AREA-11,"NOOR AL MADINA MEDICAL CENTER,SHARJAH-INDUSTRIAL AREA,11 MALIHA STREET-FLAT NO-101+103+104+105 PO BOX-97530",06-5388303,24.3433389,54.53006775,"Noor Al Ahli Medical Center, Musari Street, ME9, Abu Dhabi, AZ, United Arab Emirates",0,© OpenStreetMap contributors
521,SHJ,CLINIC,AL DARARY MEDICAL CENTRE,INDUSTRIAL AREA 1,"INDUSTRIAL AREA 1, SHARJAH,UAE",06-5336176,25.3568505,55.3880394,"UAE Exchange, Al Arouba Street, Al Gharb, Sharjah, Um Tarafa, United Arab Emirates",0.9,© OpenStreetMap contributors
522,SHJ,CLINIC,DR. ALI SALEM EL HINDI CLINIC LLC,INDUSTRIAL AREA,"PO BOX NO.4500, SHARJAH, UNITED ARAB EMIRATES,",06-5746006,25.3461498,55.4210633,"Sharjah, Sharjah Emirate, United Arab Emirates",1,© OpenStreetMap contributors
523,SHJ,CLINIC,ANTONY MEDICAL CENTRE,AL NABBA,"MUBARAK CENTRE,2ND FLOOR,AL NABBA AREA",06-5630555,25.36458,55.39332,"Mubarak Centre, Al Nabba, Sharjah, United Arab Emirates",0.666666666666667,GeoNames
524,SHJ,CLINIC,HEALTH VISION MEDICAL CENTER LLC,WASIT,"FLAT # 111, ZUBAIR REAL ESTATE BUILDING, EMIRATES ISLAMIC BANK & ADIB BUILDING, FIRST FLOOR, WASIT SHARJAH",06-5959400,25.35787195,55.38675425,"Emirates Islamic bank, Al Arouba Street, Al Gharb, Sharjah, Al Marijah, United Arab Emirates",0.285714285714286,© OpenStreetMap contributors
525,SHJ,CLINIC,SANA HABIB MEDICAL CENTRE,KING FAISAL STREET,CG MALL KING FAISAL STREET SHARJAH,06-5396566,25.3400681,55.38807715,"King Faisal Building, 313 King Faisal Street, Al Majaz, Sharjah, SH, United Arab Emirates",0.5,© OpenStreetMap contributors
