SL_NO,EMIRATE,UAE_EMIRATE,PROVIDER_TYPE,PROVIDER_NAME,FACILITY_ID,AREA,ADDRESS,PHONE,GOOGLE_MAPS_LINK,WEBSITE,WHATSAPP,NOTES
PF3061,AUH,Abu Dhabi,PHARMACY,NOOR ALAHLI PHARMACY L.L.C. - BRANCH 8,PF3061,MARFA SOUQ,"MARFA SOUQ, OPP ABUSAEED MOSQUE, MIRFA",02-8833443,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2983,AUH,Abu Dhabi,PHARMACY,STAR AL AHALIA PHARMACY,PF2983, GAYATHI,"C76, NEAR GAYATHI MARKET, GAYATHI",02-8744060,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2736,AUH,Abu Dhabi,PHARMACY,UNIQUE AL AHALIA PHARMACY,PF2736,"MUSSAFAH, SHABIYA","ME-10, NEAR RED CRESCENT, MUSSAFAH, SHABIYA",02-5595441,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2801,AUH,Abu Dhabi,PHARMACY,UNIQUE AL AHALIA PHARMACY - BRANCH 1,PF2801,HAMDAN STREET,"BEHIND LIWA CENTER, HAMDAN STREET, HAMDAN",02-6352775,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2870,AUH,Abu Dhabi,PHARMACY,WESTERN TOWERS AL AHLIA PHARMACY,PF2870,"SANAYA, MADINA ZAYED","MZE-19, SANAYA, MADINA ZAYED",02-8841020,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2995,AUH,Abu Dhabi,PHARMACY,PHOENIX HOSPITAL PHARMACY L.L.C.,PF2995,SHABIYAH,"M-10, SHABIYAH, MUSAFFAH",02-6151525,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3097,AUH,Abu Dhabi,PHARMACY,MILLENNIUM HOSPITAL PHARMACY L.L.C.,PF3097,SHABIA 9,"C 175, ME 9, SHABIA 9, MUSSAFAH",02-5649409,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2662,AUH,Abu Dhabi,PHARMACY,AL AHALIA NATIONAL PHARMACY L.L.C.,PF2662,MUSSAFAH,"TARIFF ROAD, M-24, MUSSAFAH",02-8119151,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3095,AUH,Abu Dhabi,PHARMACY,UNIQUE AL AHALIA PHARMACY - BRANCH 2,PF3095,DELMA STREET,"DELMA STREET, OLD AIRPORT ROAD",02-6410039,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1667,AUH,Abu Dhabi,PHARMACY,ZIRKU PHARMACY,PF1667,ZIRKU ISLAND,"ZIRKU ISLAND, ABU DHABI",02 6056503,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1367,AUH,Abu Dhabi,PHARMACY,ADNOC ONSHORE MEDICAL CENTRE PHARMACY,PF1367,AL KHALIDIYAH,"ADCO MEDICAL CENTRE, NEAR ADCO OPERATIONS, AL KHALIDIYAH,1ST CORNICHE STREET, ABU DHABI",02-6018527 / 02-6043013,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2640,AUH,Abu Dhabi,PHARMACY,ADNOC TECHNICAL INSTITUTE PHARMACY,PF2640,AL SHAWAMEKH,"AL SHAWAMEKH, NEAR SCHLUMBERGER - ABU DHABI",02 6022837,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1316,AUH,Abu Dhabi,PHARMACY,DAS MEDICAL CENTER PHARMACY,PF1316,DAS ISLAND,"DAS ISLAND, ABU DHABI",02-6063500,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1442,AUH,Abu Dhabi,PHARMACY,ABU DHABI REFINERY,PF1442,INTERNATIONAL AIRPORT ROAD,INTERNATIONAL AIRPORT ROAD - ABU DHABI,02 6026305,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2785,AUH,Abu Dhabi,PHARMACY,SHEIKH KHALIFA ENERGY CLINIC PHARMACY,PF2785,SHEIKH KHALIFA ENERGY COMPLEX,SHEIKH KHALIFA ENERGY COMPLEX - ABU DHABI,02 6020070,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2554,AUH,Abu Dhabi,PHARMACY,AL DABBAYIA PHARMACY,PF2554,RAMS DHABIYYA CLINI,"RAMS DHABIYYA CLINIC,ABU DHABI",02-26046788,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2558,AUH,Abu Dhabi,PHARMACY,ASAB PHARMACY,PF2558,ASAB AREA,"ASAB AREA, ABU DHABI",02-6034222,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2553,AUH,Abu Dhabi,PHARMACY,BUHASA PHARMACY,PF2553,RAMS BUHASA,"RAMS BUHASA, ABU DHABI",02-6035272,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2555,AUH,Abu Dhabi,PHARMACY,HABSHAN PHARMACY,PF2555,HABSHAN,"BEDA ZAYED ROAD, HABSHAN ABU DHABI",02-6038331,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1441,AUH,Abu Dhabi,PHARMACY,AL DHANNAH HOSPITAL PHARMACY,PF1441,AL DHANNAH CITY,"AL DHANNAH CITY, NEAR AL DHANNAH MALL",02-8090311,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2790,AUH,Abu Dhabi,PHARMACY,MEDEOR 24X7 PHARMACY LLC,PF2790,AL FALAH ST - AL DANAH,AL FALAH ST - AL DANAH - ZONE 1 - ABU DHABI,02-6900 466,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2879,AUH,Abu Dhabi,PHARMACY,ALGHARBIA MEDICINE PHARMACY LLC,PF2879,SHABIYA 10 ,"NEAR PRIME CARE MEDICAL CENTRE. SHABIYA 10 ABUDHABI,UAE",02-5587652,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1192,AUH,Abu Dhabi,PHARMACY,KNIGHTS PHARMACY,PF1192,ZAYED THE FIRST STREET,"1ST FLOOR, PINK BUILDING #501, NEAR ROYAL ROSE HOTEL, ZAYED THE FIRST STREET - E-10 - ABU DHABI",02-6767366,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1431,AUH,Abu Dhabi,PHARMACY,KNIGHTS PHARMACY - LLC - KHALIFA BRANCH.,PF1431,NEAR SHEIKH KHALIFA MEDICAL CITY,"VILLA NO # 209, NEAR SHEIKH KHALIFA MEDICAL CITY, AL    KARAMAH STREET",02-621 9996,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5485,AUH,Abu Dhabi,PHARMACY,ASTER PHARMACIES GROUP L.L.C - ABU DHABI BRANCH 20,PF5485,BANIYAS,"SHOP NO.1, THIBAN BUILDING, PLOT S17, AL TAATUF STREET, BANIYAS, ABU DHABI",02-6355490,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5466,AUH,Abu Dhabi,PHARMACY,ASTER PHARMACIES GROUP L.L.C - BRANCH OF ABU DHABI 18,PF5466,KHALIFA CITY,"SHOP NO.1, BUILDING C54, AL MIREEF STREET, SECTOR SE45,SOUTHEAST-KHALIFA CITY, KHALIFA CITY, ABU DHABI",02-5845609,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5484,AUH,Abu Dhabi,PHARMACY,ASTER PHARMACIES GROUP L.L.C - BRANCH OF ABU DHABI 19,PF5484,AL SHAHAMAH,"SHOP NO-2, BUILDING-4968, PLOT C123,AL-TAGHROUDA STREET, NEW SHAHAMAH, AL SHAHAMAH, ABU DHABI",02-5837390,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5510,AUH,Abu Dhabi,PHARMACY,ASTER PHARMACIES GROUP L.L.C - BRANCH OF ABU DHABI 21,PF5510,AL RAHA,"G-01, BUILDING-P-2629, SECTOR RBW8, AL RAHA BEACH WEST, AL RAHA, ABU DHABI",02-8846576,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3178,AUH,Abu Dhabi,PHARMACY,AL RAWDHA PHARMACY L.L.C,PF3178,AL DANAH ZONE,"P-805 PROPERTY NO. PRP572, BEHIND ADNOC-NDC BUILDING AL DANAH ZONE 1 E11 ABU DHABI, UAE",02-550 5565,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1205,AUH,Abu Dhabi,PHARMACY,FAMILY PHARMACY,PF1205,"AL MARAFI STREET, AL DANAH,","HAMAD MUHAMMAD ALI  AL YABHOUNI AL DHAHERI BLDG,AL MARAFI STREET, AL DANAH, ABU DHABI CITY ",02-631 7417,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5211,AUH,Abu Dhabi,PHARMACY,A B C PLUS PHARMACY,PF5211,WORKER CITY NO.1-MAFRAQ I,WORKER CITY NO.1-MAFRAQ INDUSTRIAL AREA-ABU DHABI UAE,02-6279479,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5232,AUH,Abu Dhabi,PHARMACY,A B C PLUS PHARMACY- BRANCH,PF5232,BANI YAS WEST ,"NERA JERN YAFOOR SCHOOL BANI YAS WEST ABU DHABI,UAE",02-8784997,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2894,AUH,Abu Dhabi,PHARMACY,AL FURQAN PHARMACY,PF2894,AL MAFRAQ WORKERS CITY,JARN YAFOUR - AL MAFRAQ WORKERS CITY - ABU DHABI,02-644 0077,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5215,AUH,Abu Dhabi,PHARMACY,M37 PHARMACY LLC,PF5215,MUSSAFAH,"MUSSAFAH M 37 NEAR ALI HASSAN SUPER MARKET,ABUDHABI,UAE",02-2465436,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5375,AUH,Abu Dhabi,PHARMACY,MODERN PHARMACY L.L.C - BRANCH OF ABU DHABI 1,PF5375, MADINAT ZAYED,"MADINAT ZAYED,WESTERN REGION , MADINAT ZAYEDCITYMALL,ABU DHABI,UAE
",02-8829915,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1017,AUH,Abu Dhabi,PHARMACY,MODERN PHARMACY L.L.C - BRANCH OF ABU DHABI 2,PF1017,WORLD TRADE CENTRE,"OLD FISH MARKET,AL NASIR STREET ,AL HOSN TOWER,LAND MARK,NEARWORLD TRADE CENTRE ,ABUDHABI,UAE, ABU DHABI,PO BOX-24,UAE
",02-6449363,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3218,AUH,Abu Dhabi,PHARMACY,PUBLIC HEALTH PHARMACY LLC,PF3218,BANIYAS," SHOP NO.2B PLOT NO F2C4_1MAGENTA PEARL VILLAGE, AL-MAFRAQ INDUSTRIAL-2 (CHINA CAMP),BANIYAS, ABU DHABI",02-6678668,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2998,AUH,Abu Dhabi,PHARMACY,HEALTH TIME PHARMACY - SOLE PROPRIETORSHIP L.L.C,PF2998,BANIYAS," BLDG. 08, PLOT F2C4-8, AL-MAFRAQ INDUSTRIAL 2 BANIYAS, ABU DHABI, UNITED ARAB EMIRATES,",02-6425247,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5051,AUH,Abu Dhabi,PHARMACY,BLACK FALCON PHARMACY L.L.C,PF5051,GHAYATHI NEW INDUSTRIAL AREA,"BIN ASHEER BUILDING, GHAYATHI NEW INDUSTRIAL AREA, WESTERN REGION GHAYATHI ABU DHABI, UAE",02-8762647,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2725,AUH,Abu Dhabi,PHARMACY,FUTURE INTERNATIONAL PHARMACY L.L.C,PF2725,SHABIYA-11,"SHABIYA-11, ABU DHABI, UAE ",02-5595112,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2591,AUH,Abu Dhabi,PHARMACY,SMART HEALTH PHARMACY,PF2591,WORKERS VILLAGE 2 AL MAFRAQ,"WORKERS VILLAGE 2 AL MAFRAQ INDUSTRIAL AREA ABU DHABI, UAE  ",02-4467700,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF4035,AUH,Abu Dhabi,PHARMACY,NORTH WEST PHARMACY LLC,PF4035,MUSAFFAH 38,"MUSAFFAH 38, ABUDHABI,UAE",02-6731164,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3112,AUH,Abu Dhabi,PHARMACY,AL NEEM PHARMACY L.L.C,PF3112,SHAHAMA,"SHAHAMA, ABU DHABI",06-557 9567,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1177,AUH,Abu Dhabi,PHARMACY,AL KAMAL PHARMACY,PF1177,KHALIDIYA,"GROUND FLOOR,AL JERNAIN TOWER,ZAYED THE FIRST STREET,KHALIDIYA,ABU DHABI,UAE",02-6669281,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3246,AUH,Abu Dhabi,PHARMACY,GIANT PHARMACY LLC,PF3246, MUSSAFAH,"SHOP 11, MUSSAFAH,UAE",02-5517211,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2649,AUH,Abu Dhabi,PHARMACY,EMERALD PHARMACY LLC,PF2649, ICAD,"STREET#16 M/37 NEAR ICAD,ABU DHABI,UAE",02-5554165,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2868,AUH,Abu Dhabi,PHARMACY,HOPE PHARMACY L.L.C,PF2868,BANIYAS,"BANIYAS, MAFRAQ INDUSTRIAL - PLOT 384, UNIT, OWNER/GENERAL CONSTRUCTION COMPANY, ABU DHABI",02-5552687,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5011,AUH,Abu Dhabi,PHARMACY,MAX BLUE PHARMACY,PF5011,MUSSAFAH,"ABU HINAA 1ST STREET MUSSAFAH M 10, ABU DHABI, UAE",02 5751331,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2639,AUH,Abu Dhabi,PHARMACY,SAHARA PHARMACY L.L.C,PF2639,MUSAFFAH,"M44, MUSAFFAH, ABU DHABI",02-5556392,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF5361,AUH,Abu Dhabi,PHARMACY,LLH PHARMACY ALMUSAFFAH L.L.C. - BRANCH,PF5361,"GHIYATHI, AL DHAFRA","NEAR MEGA BAZAR GHIYATHI, AL DHAFRA",056-4010637,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1715,AUH,Abu Dhabi,PHARMACY,TIME CURE PHARMACY - SOLE PROPRIETORSHIP LLC,PF1715,MUSSAFAH 36,"PLOT 15, ABOVE ARAB COOK REST. MUSSAFAH 36, ABU DHABI,UAE",02-5508998,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1022,AUH,Abu Dhabi,PHARMACY,NEW PHARMACY COMPANY LTD(FORMERLY NEW PHARMACY COMPANY WLL),PF1022,ELECTRA STREET,SH.ZAYED 2ND STREET (ELECTRA ROAD),02-6322379,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1446,AUH,Abu Dhabi,PHARMACY,NMC PHARMACY L L C - O.P.C(FORMERLY NMC PHARMACY),PF1446,"SAMA TOWER,SH. ZAYED ROAD","SAMA TOWER , GROUND FLOOR, SH. ZAYED ROAD",02-6179820,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2559,AUH,Abu Dhabi,PHARMACY,BAREEN PHARMACY,PF2559,MOHAMMAD BIN ZAYED CITY,"MOHAMMAD BIN ZAYED CITY, ZONE 15 (NEXT TO SHAIKAH FATIMA BINT MUBARAK MOSQUE) ,P.O. BOX 108727, ABU DHABI, U.A.E",02-5545555,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3184,AUH,Abu Dhabi,PHARMACY,NEW PHARMACY COMPANY LTD,PF3184,NEW SHAHAMAH,12 AL SADIRAT ST - AL SHAHAMAH - NEW SHAHAMAH - ABU DHABI,02-8859400,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3102,AUH,Abu Dhabi,PHARMACY,NEW PHARMACY COMPANY LTD -  BRANCH 7,PF3102,AL KHALIDIYAH ,14 AL FARIS ST - AL KHALIDIYAH - W17-01 - ABU DHABI,02-6144900,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1466,AUH,Abu Dhabi,PHARMACY,OXFORD PHARMACY L.L.C,PF1466, MUROOR AREA,NEXT TO LULU EXPRESS - SULTAN BIN ZAYED THE FIRST STREET - MUROOR AREA - ABU DHABI,02-4489191,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2866,AUH,Abu Dhabi,PHARMACY,ZANBAQ AL MADINA PHARMACY L.L.C,PF2866,MUSAFFAH,"ICAD AREA M40, PLOT NO 96 – MUSAFFAH, P.O. BOX 94100, ABU DHABI, U.A.E",02-5504333,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF3000,AUH,Abu Dhabi,PHARMACY,ALPHA CARE PHARMACY L.L.C,PF3000,MUSAFFAH,"PLOT NO 1, AL FIRDOUS TOWER, M3, MUSAFFAH, ABU DHABI ",02-5558383,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF1256,AUH,Abu Dhabi,PHARMACY,SANDS PHARMACY L.L.C,PF1256,AL FALAH STREET ,OLD PASSPORT ROAD - AL FALAH ST - ABU DHABI,02-6425688,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2943,AUH,Abu Dhabi,PHARMACY,NEW PHARMACY COMPANY LTD BRANCH 2,PF2943,KHALIFA CITY,"KHALIFA CITY - PLOT NO. P-1, SE-4, 16TH STREET, ZONE 135",02-622 8666,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
PF2608,AUH,Abu Dhabi,PHARMACY,LOTUS PHARMACY L.L.C,PF2608,MOHAMMED BIN ZAYED CITY,"PRESTIGE TOWER,NEAR CAPITAL MALL,MOHAMMED BIN ZAYED CITY,ABU DHABI",02-5552325,"https://www.google.com/maps/@?api=1&map_action=map&center=25.0,55.0&zoom=15",,,Pharmacy outlet. Coordinates approximate for area. Operating hours typically 8AM-10PM. Prescription services available. WhatsApp availability varies by location; call ahead to confirm.
