SL_NO,PROVIDER_NAME,EMIRATE,PROVIDER_TYPE,INSURANCE_NETWORK,NOTES_EXCERPT
PF3141,HEART BEAT PHARMACY L.L.C.,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2542,AL TADAWI PHARMACY -L.L.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1328,AL MARINA PHARMACY L.L.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2656,AL MARINA PHARMACY LLC - BRANCH 1,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2946,SELECT PHARMACY - SOLE PROPRIETORSHIP L.L.C.,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5590,CROWN PHARMACY - SOLE PROPRIETORSHIP L.L.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1164,SAAD PHARMACY - SOLE PROPRIETORSHIP L.L.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5201,SELENA PHARMACY - L.L.C - O.P.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1033,TAHA PHARMACY L.L.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5611,GOLDEN HEALTH PHARMACY - L.L.C- O.P.C - BRANCH,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5649,ZEST WELLNESS PHARMACY L.L.C - BRANCH OF ABU DHABI,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5293,MEDON FIRST PHARMACY - L.L.C - S.P.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MF2926,SADIQ POLYCLINIC - SOLE PROPRIETORSHIP L.L.C,AUH,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
PF5323,SURE MEDI PHARMACY - SOLE PROPRIETORSHIP L.L.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MF7957,GOLD LIFE MEDICAL CLINIC LLC,AUH,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
PF5752,ASTER PHARMACIES GROUP L.L.C - BRANCH OF ABU DHABI,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1029,AL MAQAM PHARMACY - SOLE PROPREITORSHIP L.L.C.,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MF8188,MIAMI MEDICAL CENTER - L.L.C - S.P.C,AUH,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
PF5612,MIAMI PHARMACY - L.L.C - S.P.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MF3946,KOHAT MEDICAL CENTRE - L.L.C - S.P.C,AUH,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
PF2650,KOHAT PHARMACY- L.L.C - S.P.C,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF4004,BIN SINA PHARMACY AL MARYAH ISLAND,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2599,IBN SINA PHARMACY L.L.C. - BRANCH 9 ,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1175,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C - BRANCH 2,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1166,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C.,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1294,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 1,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2564,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 10,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1738,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 12,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF3182,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 26,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1579,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 5,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1737,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH 7,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5495,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH Al Qana,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5059,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH Almusafah,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF5303,IBN SINA PHARMACY - SOLE PROPRIETORSHIP L.L.C. - BRANCH GLOBAL CARE,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2805,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C - Branch 16 ,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF3180,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C - Branch 20,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF3189,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C - Branch 27,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1363,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C - Branch 3,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1488,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C - Branch 4,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF1578,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C - Branch 6,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2675,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C BRANCH 17,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
PF2678,IBN SINA PHARMACY SOLE PROPRIETORSHIP L.L.C BRANCH 18,AUH,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
DHA-F-0300714,ZEN LIFE POLYCLINIC CO.LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-5446365,VIDA CLINIC LLC-BRANCH-MUHAISANAH - 2,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001137,VCARE POLYCLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000229,UNICARE MEDICAL CENTRE BRANCH-SATWA,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045523,KARAMA MEDICAL CENTRE (KARAMA),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047104,KARAMA MEDICAL CENTRE AL QUOZ BR,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000673,KARAMA MEDICAL CENTRE AL QUOZ MALL BR,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047636,KARAMA MEDICAL CENTRE BR DIP,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047921,"KARAMA MEDICAL CENTRE BR, JV",DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001154,"KARAMA MEDICAL CENTRE, BR MUHAISNAH",DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045435,JANSONS STARS POLYCLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001445,KARAMA MEDICAL CENTRE BR. AL KHAIL GATE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-9789058,KARAMA MEDICAL CENTRE BR BURJUMAN,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0048014,AL AZHAR CLINIC -BRANCH (JABEL ALI),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047440,AL AZHAR CLINIC (DIP-1),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000444,AL AZHAR CLINIC- BRANCH 2 (DIP-2),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046969,AL SANAIYA MEDICAL CLINIC- BR (AL QUOZ),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046325,AL SANAIYA MEDICAL CLINIC (SONAPUR),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046425,NEW SANAIYA CLINIC (SONAPUR),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047442,RUBY CLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001616,NEW SANAIYA CLINIC -BRANCH - DIP-1,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0048024,NEW SANAIYA CLINIC - BR HORALANZ,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002443,AL AZHAR CLINIC BRANCH 3 LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-9579987,AL AZHAR CLINIC LLC 4,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-6594133,REMEDY PLUS MEDICAL CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002531,RELEAF MEDICAL CENTRE LLC-DIP 2,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-3625405,RELEAF MEDICAL CENTRE LLC BRANCH-AL QOUZ 2,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-7783571,RELEAF MEDICAL CENTRE LLC BRANCH-JEBAL ALI IN D 2,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-3704603,RELEAF MEDICAL CENTRE LLC (FORMERLY RELEAF MEDICAL CENTRE LLC BRANCH-ALQOUZ 1),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047057,MINI VM POLY CLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046440,NOORA POLY CLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047965,CITICARE MEDICAL CENTER LLC (FORMERLY PESHAWAR MEDICAL CENTRE-AL BARSHA),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0108842,NOVITAS CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0612259,BETA STAR CLINIC L.L.C (FORMERLY NOVITAS CLINIC LLC (BRANCH),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000055,NOOR AL SHEFA CLINIC-JEBEL ALI MALL,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001450,NOOR AL SHEFA CLINIC BRANCH-AL QUOZ,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001710,NOOR AL SHEFA CLINIC-JAFZA MALL-JEBEL ALI,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000295,NOOR AL SHEFA CLINIC(BR) AL AWEER,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001943,ZAHRAT  AL SHEFA MEDICAL CENTER LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002148,NOOR AL SHEFA CLINIC-JAFZA-JEBEL ALI(OPP.VILLAGE HYPER MARKET),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047790,"AMALA MEDICAL CENTER LLC,ALQUOZ",DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045459,FAMILY CLINIC-SATWA - DUBAI,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000461,NEW MEDICAL CENTRE-JABAL ALI(DR.REENA BEGUM CLINIC),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047578,NEW AL MUSALLA MEDICAL CENTERE LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002275,GREEN CITY MEDICAL CENTER L.L.C(FORMERLY NEW AL MUSALLA MEDICAL CENTERE LLC BRANCH),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0785487,NAJMAT AL SHIFA MEDICAL CENTER LLC,DXB,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
DHA-F-3322357,M V R DIAGNOSTIC CLINIC L.L.C (FORMERLY MVR MEDICAL CENTER L.L.C),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002421,MULTICARE MEDICAL CENTER LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002053,MEDILIFE POLYCLINIC LLC- AL QUOZ(BR),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002265,COMMUNITY HEALTHCARE LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-3487056,NEW MEDILIFE MEDICAL CENTRE L.L.C (WARSAN),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002231,LIVE CARE CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-4374542,LIFENITY INTERNATIONAL ADVANCED POLY CLINIC,DXB,CLINIC,UNKNOWN,"Coordinates are approximate, derived from the described loca"
DHA-F-9665447,LIFENITY INTERNATIONAL ADVANCED POLYCLINIC LLC BRANCH,DXB,CLINIC,UNKNOWN,"Coordinates are approximate, derived from the described loca"
DHA-F-6179400,LIFENITY INTERNATIONAL CLINICAL LABORATORY LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-8023047,LIFEGUARD GENERAL CLINIC LLC (FORMERLY OUR CARE AND CURE MEDICAL CENTER LLC),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000064,KIMS MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047821,JUPITER AL NAHDA POLYCLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045868,JUPITER AL QUSAIS POLYCLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000075,"JUPITER SPECIALTY MEDICAL CENTER LLC,AL KARAMA",DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045726,"JANSONS MEDICAL CENTRE LLC,BURDUBAI",DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001781,VIDA CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045654,AL AMAL POLYCLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001669,SHEIKH MANAA BIN HASHER ALMAKTOUM POLYCLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045651,FALCON MEDICAL CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045472,AL RASHIDIYAH PVT POLYCLINIC ,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001912,ANGEL WINGS MEDICAL CENTER LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000574,AL MASHAHER MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045535,THE DOCTORS HUB POLYCLINIC LLC (FORMERLY DR. JOSEPH GHRAYEB POLYCLINIC),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045583,AL FALAH MEDICAL CLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047300,SEKHER MEDICAL CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000582,KHALIDHA MEDICAL CENTRE L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002334,BRIGHT MEDICAL CENTER,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002126,ABRIS MEDICAL CENTRE LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045642,AL DHAFRA MEDICAL CENTER,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045463,AL MAJID CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046615,DR RADHAKRISHNAN MEDICAL CENTRE LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045617,ALI MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002366,BIO VISTA MEDICAL CENTRE LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002330,AL SHIFA INTERNATIONAL CLINIC LLC BRANCH,DXB,CLINIC,Shifa/ADICO,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman"
DHA-F-0045548,MATHEW MEDICAL CLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047736,AL KHAIL MEDICAL CENTER,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000990,AL KHAIL MEDICAL CENTER BRANCH,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-1122756,HOPECARE POLYCLINIC L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002042,PARADISE PLUS POLY CLINIC L L C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001772,CARE ONE POLY CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045595,NASSER CLINIC L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-2805626,AL HANA MEDICAL CENTER LLC-SATWA,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046444,GLOBEHEALTH GENERAL CLINIC L L C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-6888872,PAKISTAN MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-1246522,ALHANA MODREN MEDICAL CENTER L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047297,WELLCARE ADVANCED POLY CLINIC L.L.C (FORMERLY AL QUOZ CITY STAR POLYCLINIC),DXB,CLINIC,Wellcare/AXA,"Coordinates are approximate, derived from the described loca"
DHA-F-6571317,BEST HEALTH MEDICAL CENTER L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045565,AL TAIF MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045715,LAKESHORE MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047075,DR REENA BEEGUM CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-8563784,DOCTORS CLINIC DIAGNOSTIC CENTER,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000992,MEDICORP GULF MEDICAL CLINIC L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000173,MEDLITE MEDICAL CENTER(FORMERLY BETTER CARE),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-7706117,CARE BLUE CLINIC FZCO,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-2616639,PHYSIOVEDA MEDICAL CENTER L.L.C(BRANCH),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-5308110,ABSOLUTE WELLNESS MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046784,DR. JOHN CLINIC (IMARA GR),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001508,CLINICARE SAMARI (BR OF IMARA HEALTH CARE L.L.C)(IMARA GR),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001648,CLINICARE NAIF(BR OF IMARA HEALTH CARE L.L.C)(IMARA GR),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001994,HTK MEDICAL CENTER,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000178,HOUSTON MEDICAL CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-9139449,META CLINIC (FORMERLY HOUSTON MEDICAL CLINIC LLC),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046449,COSMOPOLITAN MEDICAL CENTRE BURDUBAI(HNC GROUP),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046986,EMIRATES STAR MEDICAL CENTRE(HNC GROUP) AL QUOZ,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046740,COSMOPOLITAN MEDICAL CENTRE LLC- MAMZAR BR.(HNC GROUP),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047471,APPLE CLINIC LLC  ( FRANCE CLUSTER ),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001441,APPLE INTERNATIONAL POLYCLINIC  ( GREECE  CLUSTER),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046761,HARLEY INTERNATIONAL MEDICAL CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001734,HARLEY INTERNATIONAL MEDICAL CLINIC BRANCH,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000802,GSM MEDICAL CENTER LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000923,GRAND INFINITY MEDICAL CENTER LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-4516753,GRAND INFINITY MEDICAL CENTER LLC BRANCH,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-3629528,BRIGHT LIFE MEDICAL CENTER LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-4809148,GOOD WILL CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-9737345,FAITH JABAL MEDICAL CENTRE LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000052,LOTUS MEDICAL CENTRE LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002131,MEDZE CLINIC LLC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046977,NEW LOTUS MEDICAL CENTRE L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-9423214,DR.SUNNY MEDICAL CENTRE JEBEL ALI,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045491,DR. SIRAJUDEEN MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045607,NEW APOLLO POLYCLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047638,DR.SANJAY MEDICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0045427,DR.ISMAIL MEDICAL CENTRE-KARAMA,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047018,DR.ISMAIL MEDICAL CENTRE AL QUOZ,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0046843,DR.ISMAIL MEDICAL CENTRE-MUHAISINAH II  (BRANCH),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0047844,DR.ISMAIL NEW POLYCLINIC(DISCOVERY GARDEN ),DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0000594,DR.ISMAIL POLYCLINIC BRANCH JEBAL ALI,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-2019818,DR ISMAIL POLYCLINIC MALL L.L.C,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0001344,DR.ABDULLA'S CLINIC,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
DHA-F-0002156,DR.ISMAIL DAY SURGICAL CENTRE,DXB,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
